provinsi,wilayah,kecamatan,kelurahan,kode_kantor,nama_kantor,jenis,alamat
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Sawah Besar,Pasar Baru,10000,Jakarta Pusat,KPRK,Jl. Lapangan Banteng Utara No. 1
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Gambir,Gambir,10110A,Jakarta Pusat Hankam,KPCDK,Kantor Dephankam
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Gambir,Gambir,10110B,Jakarta Pusat Wisma Antara,KPCDK,Jl. Medan Merdeka Selatan No. 17
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Gambir,Gambir,10110C,Jakarta Pusat Balaikota,KPCDK,Jl. Medan Merdeka Selatan No. 8-9
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Gambir,Gambir,10110D,Jakarta Pusat Gambir,KPCDK,Jl. Medan Merdeka Timur No. 27
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Gambir,Gambir,10110D1,LE Danareksa,LE,Gd. Kementrian BUMN
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Gambir,Gambir,10110D2,LE Mahkamah Agung,LE,Gd. Mahkamah Agung
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Gambir,Gambir,10110E,Jakarta Pusat Departemen Perhubungan,KPCDK,Jl. Medan Merdeka Barat No. 8
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Gambir,Gambir,10110F,Jakarta Pusat Pertamina,KPCDK,Jl. Perwira No. 2
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Gambir,Kebon Kelapa,10120A,Jakarta Pusat Wisma Hayam Wuruk,KPCDK,Jl. Hayam Wuruk No. 8
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Gambir,Petojo Utara,10130A,Jakarta Pusat Gajah Mada,KPCDK,Ruko Sanjaya
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Gambir,Petojo Utara,10130B,Jakarta Pusat Pembangunan,KPCDK,Jl. Pembangunan II
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Gambir,Petojo Utara,10130C,Jakarta Pusat Gajah Mada Plaza,KPCDK,Jl. Gajah Mada
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Gambir,Cideng,10150A,Jakarta Pusat Cideng,KPCDK,Jl. Tulang Bawang No. 1
