nama_pengurus,nama_bank_sampah,alamat_bank_sampah,kecamatan,kelurahan,email,status
Eddy,Bank Sampah TRC,"Jalan Ambon, Jalan Ambon, Cengkareng Tim., Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730, Indonesia",Cengkareng,Cengkareng Timur,anorganik3r@gmail.com,Aktif
Dedek Siswanto,Bank Sampah Jeruk Manis,"Jalan Haji Tohir, Jl. H. Tohir, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530, Indonesia",Kebun Jeruk,Kebon Jeruk,karnyotwalawalatingting@gmail.com,Aktif
Robin,Bank Sampah Kemuning,"Jalan Bina Serasih II, Jl. Bina Serasih II, Pegadungan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11830, Indonesia",Kalideres,Pegadungan,bintang_naga18@yahoo.com,Aktif
Udin,Bank Sampah Indraloka,"Jalan Indraloka II, Jl. Indraloka II, Wijaya Kusuma, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460, Indonesia",Grogol petamburan,Wijaya Kusuma,banksampahindraloka@gmail.com,Aktif
Setiawan,Bank Sampah Grogol Petamburan 2,"Jalan Tanjung Duren Barat IV, Jl. Tanjung Duren Barat IV, Tj. Duren Utara, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470, Indonesia",Tangung Duren Utara,Tanjung Duren Utara,banksampahgrogolpetamburan2@gmail.com,Aktif
Galih,Bank Sampah Dipo Makaliwe,"Jalan Dokter Makaliwe, Jl. Dr. Makaliwe, Grogol, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Groool,Grogol,banksampahdipomakaliwe@gmail.com,Aktif
Rukiyah,Bank Sampah Kenanga,"Jalan Dukuh II, Jl. Dukuh II, Tj. Duren Utara, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470, Indonesia",Grogol petamburan,Tanjung Duren Utara,banksampahkenanga7@gmail.com,Aktif
Eko Herri Waluyo,Bank Sampah Tobar,"Jalan Tomang Tinggi Raya, Jl. Tomang Tinggi Raya, Tomang, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440, Indonesia",Grogol petamburan,Tomang,banksampahtobar@gmail.com,Aktif
Sukini Lilis,Bumi Lestari,"Belmont Residence, Jalan Lapangan Bola, Meruya Ilir, RT.8/RW.7, Srengseng, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620, Indonesia",Kembangan,Srengseng,bs.bumilestari7@gmail.com,Aktif
Aminah,Bank Sampah Melati,"Jalan Krendang Selatan, Jl. Krendang Sel., Duri Utara, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tambora,Duri Utara,krendang05@gmail.com,Aktif
