kecamatan,kelurahan,nama_kube_jasa,alamat
Cengkareng,Rawa Buaya,Berkah Ibu,Rawa Buaya RW.02
Cengkareng,Cengkareng Timur,Al Madiniyah,Jl. Nurul Amal  18/34 RT.011/RW.005
Cengkareng,Kapuk  ,Bunda Alfiah,Pedongkelan RT.002/RW.013
Cengkareng,Kapuk,Kapuk Sejahtera,Pedongkelan 12 RT.001/RW. 013
Cengkareng,Kedaung Kali Angke,Barokah,Komp.Dep. Agama RT.004/003
Cengkareng,Kapuk,Rizqi Abadi,Jl. Kapuk Pulo RT.o14/010
Cengkareng,Rawa Buaya,Amani,Kp. Klingkit  RT.002/ RW.012
Cengkareng,Duri Kosambi,Berkah Mandiri,Jl. H. Mali RT.007/001
Cengkareng,Kapuk,Hijau Sejahtera,Jl. Rawa Gabus  RT.008/ RW.011
Cengkareng,Kedaung Kali Angke,Lestari,Kp. Kali Mati  RT.011/ RW.003
Cengkareng,Duri Kosambi,Srikandi,Kp. Duri RT.005/ RW.05
Cengkareng,Cengkareng Timur,Makmur Jaya,Utan Bahagia RT.001/ RW.007
Cengkareng,Cengkareng Timut,Sumber Rejeki, Pedongkelan  RT.003/ Rw.014
Cengkareng,Duri Kosambi,Persaki,Rusunawa Persaki Blok I RT.016/RW.014
Cengkareng,Cengkareng Barat,Cendrawasih,Jl. Rawa Bengkel RT. 006/RW.007
Kalideres,Kamal,Makmur Jaya,Kp. Prepedan RT.002/RW.07
Kalideres,Tegal Alur,Qla March,Kayu Besar RT.04/ RW.012
Kalideres,Pegadungan,Fikri Mandir,Prepet RT. 011/RW.004
Kalideres,Kalideres,Toserba Sejahtera,Kp. Rawalele RT.008/RW.010
Kalideres,Pegadungan,Mandir Sejahtera,Kp. Maja RT.009/RW.005
Kalideres,Semanan,Karya Mandiri,Komplek PIK Kopti RT.011/RW.011
Kalideres,Kamal,Ar Ridho,Gaga Rawa Kompeni RT.007/RW.004
Kalideres,Kamal,Karya  Jaya,KP. Dua Ratus RT.004/ RW.006
Kalideres,Kalideres,Harapan Jaya,Jl. Peta Selatan Kalideres RT.001/RW.003
Kembangan,Meruya Selatan,Athaya Sejahtera,Jl. H. Kasam RT.002/ RW.006
Kembangan,Kembangan Utara,Barokah,Jl. Kembangan Utara RT.010/RW.02
Kembangan,Joglo,Iklas,Jl. Raya Joglo RT.004/RW.08 No.4
Kembangan,Serengseng,Rejeki,Jl.Karya Utama RT.010/RW.013
Kembangan,Meruya Selatan,Meruya Sejahtera,Jl.H. Kasam.  II No 53. RT.002/RW.06
Kembangan,Meruya Utara,Harapan Sejahtera,KAPLING DKI Blok. 53 Rt.003/RW.010
Tambora,Pekojan,Syah E Waronh,Jl. Jembatan Item Pekojan III RT.011/007
Tambora,Krendang,Melati Kertim,Jl. Krendang Timur GG. VI RT.013/02 No.3
Tambora,Jembatan Besi,Barokah Shahnum,Jl. Tambora Raya II No.AA RT.003/003
Tambora,Tambora,Katamza Indah,Jl. Tambora II No.11A RT.003/003
Tambora,Angke,Angkasa,Jl. Padamulya III. RT.004/008
Tambora,Duri Selatan,Kenanga Dursel,Jl. Cahaya RT.003/ RW.001
Tambora,Kalianyar,Mulia Mart,Kalianyar
Tambora,Duri Utara,Putra Duta,Jl. Gang Balok IV RT012/ RW.004 No.9
Tambora,Tanah Sereal,Barokah,Jl. Tanah Sereal XIV N0.5 RT.004/RW.010
Kebon Jeruk,Sukabumi Selatan,Planet Kita,Jl. Pesing Gadog RT.005/RW.008
Kebon Jeruk,Kedoya Selatan,Sumber Jaya,Jl. Musirin I. RT.006/002
Kebon Jeruk,Sukabumi Utara,Puan Inspirasi,Jl. Madrasah II RT.007/011
Kebon Jeruk,Duri Kepa,Kartini,Jl. Kepa Duri  RT.009/004
Kebon Jeruk,Kebon Jeruk,Ikan Mas,Jl. Gili Sampang No.5 RT.009/003
Kebon Jeruk,Sukabimi Selatan,Anugrah,Jl. AA RT.005/RW.04 No. 13 B
Gropet,Grogol,Yoyohan,JL. DR. Sermeru II RT.004/009
Gropet,Jelambar Baru,Bina Etik,Jl. Jelambar Jaya IV No.5 RT.002/RW.03
Gropet,Tomang,Tomang Mart,Jl. Tomang Banjir Kanal RT.005/RW.002
Gropet,Wijya Kusuma,Syariah Mart,Jl. Asrama Polri Pesing 2 RT.005/RW.008
Taman Sari,Tangki,Saudara Kita Jaya,Jl. Mangga Besar IX No.25 RT.00 /RW.001
Taman Sari,Pinangsia,Karomah,Jl. Krukut Lio . No.27 RT.011/RW.003
Taman Sari,Mahpar,Hidayah,Jl. Kebon Jeruk XII No.99 RT.002/RW.007
Taman Sari,Pinangsia,Sejahtera,Jl. Kunir Dalam II  RT.003/RW.007
Palmerah,Palmerah,Sabar Subur Abadi,Jl. Kemanggisan RT.007/RW.011
Palmerah,Kota Bambu Utara,Makmur,Jl. Pondok Bandung RT.008/003
Palmerah,Kemanggisan,Kebon Sayur,Slipi Kebon Sayur RT.007/003
Palmerah,Kota Bambu Selatan,Jaya Abadi,Jl. Apus II RT.009/RW.005
Palmerah,Jati Pulo,Harapan,Jl. Pelita IV RT.005/RW>004
Palmerah,Slipi,Amanah,Jl. Gg. RS. Pelni RT.011/RW.001
