gelanggang,jenis_lapangan,alamat,kelurahan,kecamatan,wilayah
Lapangan Sepakbola Pegadungan,Lapangan Sepakbola Terbuka,Jl. Peta Utara,Pegadungan,Kalideres,Jakarta Barat
Lapangan Sepakbola Semanan,Lapangan Sepakbola Terbuka,Jl. Raya Semanan,Semanan,Kalideres,Jakarta Barat
Lapangan Sepakbola Srengseng,Lapangan Sepakbola Terbuka,Jl. Lapangan Sepak Bola,Srengseng,Kembangan,Jakarta Barat
Lapangan Joglo,Lapangan Sepakbola Terbuka,Jl. Komp DPR RI Joglo,Meruya Selatan,Kembangan,Jakarta Barat
Lapangan Sepakbola Kedoya,Lapangan Sepakbola Terbuka,Jl. Pilar Raya,Kedoya Selatan,Kebon Jeruk,Jakarta Barat
Lapangan sepakbola Kebon Jeruk,Lapangan Sepakbola Terbuka,Jl. Raya Kebon Jeruk,Kebon Jeruk,Kebon Jeruk,Jakarta Barat
Lapangan Sepakbola Persima,Lapangan Sepakbola Terbuka,Jl. Kali Anyar IX,Tambora,Tambora,Jakarta Barat
Lapangan Sepakbola Wijaya Kusuma,Lapangan Sepakbola Terbuka,Jl. Anggrek Garuda,Kemanggisan,Palmerah,Jakarta Barat
Lapangan Sepakbola Terbuka,Lapangan Sepakbola Terbuka,Jl. Cendrawasih X No. 10,Cengkareng Barat,Cengkareng,Jakarta Barat
Lapangan Sepakbola Karet Tengsin,Lapangan Sepakbola Terbuka,Jl. Karet Pasar Baru Barat II,Karet Tengsin,Tanah Abang,Jakarta Pusat
Lapangan Sepakbola Pejompongan,Lapangan Sepakbola Terbuka,Jl. Danau Tondano,Bendungan Hilir,Tanah Abang,Jakarta Pusat
Lapangan Sepakbola PORS Serdang,Lapangan Sepakbola Terbuka,Jl. Lapangan PORS,Serdang,Kemayoran,Jakarta Pusat
Lapangan sepak bola setu,Lapangan Sepakbola Terbuka,Jl. Bantar Jati,Setu,Cipayung,Jakarta Timur
Lapangan Sepak bola Klender,Lapangan Sepakbola Terbuka,Jl. Malaka I,Malakasari,Duren Sawit,Jakarta Timur
Lapangan sepak bola cakung,Lapangan Sepakbola Terbuka,Jl. Kayu Tinggi,Cakung,Cakung,Jakarta Timur
Lapangan sepak bola kramat jati,Lapangan Sepakbola Terbuka,JL. Raya Bogor,Rambutan,Ciracas,Jakarta Timur
Lapangan sepak bola gedong,Lapangan Sepakbola Terbuka,Jl. Raya Condet ,Condet,Pasar Rebo,Jakarta Timur
Lapangan sepak bola cijantung,Lapangan Sepakbola Terbuka,Jl. Stadion Mini ,Cijantung,Pasar Rebo,Jakarta Timur
Lapang sepak bola kelapa dua wetan,Lapangan Sepakbola Terbuka,Jl. Raya PKP ,Kelapa Dua Wetan,Ciracas,Jakarta Timur
Lapangan sepak bola cibubur,Lapangan Sepakbola Terbuka,Jl. Bulak Sereh ,Cibubur,Bulak Sereh,Jakarta Timur
Lapangan sepak bola lubang buaya,Lapangan Sepakbola Terbuka,Jl. SMPN 81 ,Lubang buaya,Cipayung,Jakarta Timur
Lapangan sepak bola ceger,Lapangan Sepakbola Terbuka,Jl. SMPN 160/H. Siun ,Ceger,Cipayung,Jakarta Timur
Lapangan Sepak Bola Blok.S,Lapangan Sepakbola Terbuka,Jl. suryo No 1 Keb.Baru,Rawa Barat,Kebayoran baru,Jakarta Selatan
Lapangan Sepakbola A. Yani,Lapangan Sepakbola Terbuka,Jl. Praja,Kebayoran Lama Utara,Kebayoran lama,Jakarta Selatan
Lapangan Sepak Bola Kebagusan,Lapangan Sepakbola Terbuka,Jl. Kelurahan,Lenteng Agung,Jagakarsa,Jakarta Selatan
Lapangan Sepak Bola Jagakarsa,Lapangan Sepakbola Terbuka,Jl. Sirsak,Jagakarsa,Jagakarsa,Jakarta Selatan
Lapangan Sepak Bola Sukatani,Lapangan Sepakbola Terbuka,Jl. Nangka,Tanjung Barat,Jagakarsa,Jakarta Selatan
Lapangan Sepak Bola Pesanggrahan,Lapangan Sepakbola Terbuka,Jl. Pesanggrahan,Pesanggrahan,Pesanggrahan,Jakarta Selatan
Lapangan Bola I,Lapangan Sepakbola Terbuka,Jl. Harsono RM.,Ragunan,Pasar Minggu,Jakarta Selatan
Lapangan Bola II,Lapangan Sepakbola Terbuka,Jl. Harsono RM.,Ragunan,Pasar Minggu,Jakarta Selatan
Lapangan Bola III,Lapangan Sepakbola Terbuka,Jl. Harsono RM.,Ragunan,Pasar Minggu,Jakarta Selatan
