tahun ,provinsi,wilayah,kecamatan,kelurahan,nama_jalur_hijau,klasifikasi_jalan,luas,diserahkan_kelurahan
2017,DKI JAKARTA,JAKARTA BARAT,CENGKARENG ,KAPUK,Jalur Hijau Pedongkelan Sisi Barat Cengkareng Drain dr Jl. Daan Mogot s/d Jemb. Kp Ambon,KOTA,9750,TIDAK
2017,DKI JAKARTA,JAKARTA BARAT,CENGKARENG ,RAWA BUAYA ,Jalur Hijau Jl. Outer Ringroad Sisi Timur dr Jl. Bojong Raya s/d LM Cengkareng,NASIONAL,416,TIDAK
2017,DKI JAKARTA,JAKARTA BARAT,CENGKARENG ,RAWA BUAYA ,Jalur Hijau Pinggir Kali Mookervart dr Cengkareng Drain s/d LM Cengkareng,PROVINSI,10540,TIDAK
2017,DKI JAKARTA,JAKARTA BARAT,CENGKARENG ,CENGKARENG BARAT,Jalur Hijau Jl. Kamal Raya Sisi Barat,NASIONAL,4632,TIDAK
2017,DKI JAKARTA,JAKARTA BARAT,CENGKARENG ,CENGKARENG BARAT,Jalur Hijau Fly Over Cengkareng (Atas dan Bawah),NASIONAL,1137,TIDAK
2017,DKI JAKARTA,JAKARTA BARAT,CENGKARENG ,CENGKARENG TIMUR ,Jalur Hijau Jl. Kamal Raya Sisi Timur dr Jl. Kapuk Cengkareng s/d LM Cengkareng,NASIONAL,6176,TIDAK
2017,DKI JAKARTA,JAKARTA BARAT,CENGKARENG ,KEDAUNG KALIANGKE,Jalur Hijau Median Jl. Daan Mogot dr Fly Over Pesing s/d Cengkareng Drain,PROVINSI,2880,TIDAK
2017,DKI JAKARTA,JAKARTA BARAT,CENGKARENG ,CENGKARENG TIMUR,Jalur Hijau Median Jl. Daan Mogot dr Cengkareng Drain s/d Lampu Merah Cengkareng,PROVINSI,3740,TIDAK
2017,DKI JAKARTA,JAKARTA BARAT,CENGKARENG ,CENGKARENG BARAT,Jalur Hijau Median Jl. Daan Mogot dr Lampu Merah Cengkareng s/d Sumur Bor,PROVINSI,2172,TIDAK
2017,DKI JAKARTA,JAKARTA BARAT,CENGKARENG ,CENGKARENG BARAT,Jalur Hijau Pinggir Kali Mookervart dr LM Cengkareng s/d Sumur Bor,PROVINSI,5220,TIDAK
2017,DKI JAKARTA,JAKARTA BARAT,KALIDERES,KALIDERES,Jalur Hijau Median Jl. Daan Mogot dr Sumur Bor s/d Batas Kota,PROVINSI,4932,TIDAK
2017,DKI JAKARTA,JAKARTA BARAT,KALIDERES,KALIDERES,Jalur Hijau Pinggir Kali Mookervart dr Sumur Bor s/d Batas Kota,PROVINSI,10960,TIDAK
2017,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN ,TANJUNG DUREN SELATAN ,Jalur Hijau Fly Over Tanjung duren,KOTA,90,TIDAK
