wilayah,kecamatan,kelurahan,nama_mini_market,nama_pemilik,alamat,luas_efektif_usaha,nomor_siup,nomor_tdp,nomor_uug,nomor_domisili,nomor_imb,nomor_slf,izin_operasional,jam_buka,jam_tutup,status_kepemilikan,jarak_dengan_pasar_tradisional,keterangan,,
Jakarta Barat,TAMBORA,TAMBORA,Indomaret,PT. Indomarco Primatama,Jl. Pekapuran 8 No. 19 RT.005/05,210 M,00254-02/PB/P/1.824.271,09.01.1.46.92196,,,08314/ IMB/96,,,'07.30,'22.00,Sewa,> 500 M,WFL,,
Jakarta Barat,TAMBORA,TAMBORA,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Betet No. 36 RT.001/07,160 M,0025/PB/VII/ BPPT/2011,30.06.1.46.01725,,,,,,'07.30,'22.00,Sewa,> 500 M,Wsn,,
Jakarta Barat,TAMBORA,TAMBORA,Toko Senang Hati,H. Pepen Efendi,Jl. KHM. Mansyur RT.003/05,140 M,,,,,,,,'07.30,'22.00,Sewa,> 500 M,KKT/ KPD,,
Jakarta Barat,TAMBORA,Roa Malaka,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Kopi No. 2 H RT.006/03,100 M,0025/PB/VII/ BPPT/2011,09.02.5.47.33954,137/3/JB/ 2010 Tgl. 26/03/ 2010,0198/ 1.824.1/12 Tgl. 08/06/ 2012,,,3743/-1.824.26 Tgl. 9/06/2012,'24 Jam,'24 Jam,Sewa,> 500 M,KKT/ KPD,, 
Jakarta Barat,TAMBORA,Roa Malaka,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Toko III RT.003/01,100 M,0025/PB/VII/ BPPT/2011,30.06.1.46.01725,,,,,,'24 Jam,'24 Jam,Sewa,> 500 M,WKT/WDG,,
Jakarta Barat,TAMBORA,Roa Malaka,Indomaret,PT. Indomarco Prismatama,Jl. Kopi Dalam No. 2G RT.007/08,100 M,00254-02/PB/P/1.824.271,09.02.5.47.34297 Tgl. 25/10/2013,195/5/JB/ 2012 Tgl. 16/05/ 2012,0212 / 1.824.1 /14 Tgl. 02/05/ 2014,,,4705/1.824.26 Tgl. 31/08/2012,'24 Jam,'24 Jam,Sewa,> 500 M,KKT/ KPD   ,,
Jakarta Barat,TAMBORA,Roa Malaka,Indomaret,PT. Indomarco Prismatama,Jl. Pasar Pagi I No. 24  RT.006/01,100 M,00254-02/PB/P/1.824.271,09.02.5.47.34295 Tgl. 25/10/2013,61/2/JB/2012 Tgl. 13/02/ 2012,0213 / 1.824.1 /14 Tgl. 02/05/2014,,,4705/1.824.26 Tgl. 31/08/2012,'24 Jam,'24 Jam,Sewa,> 500 M,KKT/ KPD   ,,
Jakarta Barat,TAMBORA,Duri Selatan,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Duri Selatan I RT.008/01,120 M,0025/PB/VII/ BPPT/2011,09.02.5.47.34439,,,,,,'07.00,'22.00,Sewa,> 500 M,Wsn,,
Jakarta Barat,TAMBORA,Duri Selatan,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Duri Selatan Raya No. 8 RT.006/02,120 M,0025/PB/VII/BPPT/2011,30.06.1.46.01725,359/12/JB/ 2006,,,,,'07.00,'22.00,Sewa,> 500 M,WKT/WDG,,
Jakarta Barat,TAMBORA,Duri Selatan,Indomaret,PT. Indomarco Prismatama,Jl. Duri Selatan Raya No. 12 AB RT.002/06,140 M,00254-02/ PB/P/1.824.271,09.01.1.46.92196,63/I/JB/2013 Tgl. 29/01/ 2013,56/1.824.1/ X/2014 Tgl. 20/10/ 2014,1619/IMB/ 84 Tgl. 22/03/ 1984,,,'07.00,'22.00,Sewa,> 500 M,WKT/WDG,,
Jakarta Barat,TAMBORA,Duri Selatan,Lucky Market,,Jl. Duri Raya (TSS Raya) No. 55-56  RT.008/01,160 M,,,,,,,,'07.00,'22.00,Sewa,> 500 M,WKT/WDG,,
Jakarta Barat,TAMBORA,Duri Utara,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Moch. Mansyur No. 134 RT.003/03,200 M,0025/PB/VII/ BPPT/2011,09.02.5.47.34438,,,,,,'08.00,'21.00,Sewa,> 500 M,WKT/ WDG,,
Jakarta Barat,TAMBORA,Duri Utara,Alfamart,PT. Sumber Alfaria Trijaya,Jl. TSS Raya No. 43 RT.001/05,500 M,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,482/10/JB/ 2010,,,,,'08.00,'21.00,Sewa,> 500 M,WKT/ WDG,,
Jakarta Barat,TAMBORA,Duri Utara,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Duri Utara I RT.008/03 ,400 M,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,079/3/JB/ 2007,,,,,'08.00,'21.00,Sewa,> 500 M,WSN,,
Jakarta Barat,TAMBORA,Duri Utara,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Kp. Krendang Pulo   RT.005/08,600 M,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,,,,,,'08.00,'21.00,Sewa,> 500 M,WSN,,
Jakarta Barat,TAMBORA,Duri Utara,Indomaret,PT. Indomarco Prismatama,Jl. Krendang Raya No. 97 RT.002/08,600 M,06708-03/ PM/ 1.824.271 Tgl. 14-06- 2013,09.02.3.46. 12448 Tgl. 19-06-2013,1052/12/JB/ 2013 Tgl. 13/12/ 2013,47/-1.824.1 Tgl. 02/05/ 2014,,,4705/-1.824. 26 tgl. 31/8/2012,'08.00,'21.00,Sewa,> 500 M,KKT/ KPD,,
Jakarta Barat,TAMBORA,Duri Utara,Indomaret,PT. Indomarco Prismatama,Jl. Kp. Krendang No. 4 RT.003/07,300 M,00254-02/PB/P/1.824.271,09.01.1.46. 92196,0584/2005 Tgl. 11/06/2005,88/1.755. 01/2006 Tgl. 17/06/ 2006,07349/ IMB/2003 Tgl. 20/08/ 2003,,,'08.00,'21.00,Sewa,> 500 M,WSN,,
Jakarta Barat,TAMBORA,Duri Utara,Indomaret,PT. Indomarco Prismatama,Jl. Moch. Mansyur No. 133 RT.003/03,200 M,00254-02/PB/P/1.824.271,09.01.1.46. 92196,353/5/JB/ 2013 Tgl. 10-05- 2013,52/1.824.1 tgl. 02-07-2014,,,,'08.00,'21.00,Sewa,> 500 M,WKT/ WDG,,
Jakarta Barat,TAMBORA,Jembatan Lima,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Sawah Lio No. 75 RT.001/08,100 M,0025/PB/VII/  BPPT/2011,30.06.1.46. 01725,287/10/JB/ 2009,,,,,'07.00,'22.00,Sewa,> 500 M,WFL,,
Jakarta Barat,TAMBORA,Jembatan Lima,Alfamart,PT. Sumber Alfaria Trijaya,Jl. PTB. Angke No. 81 RT.011/04,100 M,0025/PB/VII/   BPPT/2011,09.02.5.47. 33954,70/2/JB/2010,,,,3743/-1.824.26 Tgl. 29/06/2012,'07.00,'22.00,Sewa,> 500 M,KKT/ KPD,,
Jakarta Barat,TAMBORA,Jembatan Lima,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Sawah Lio V No. 17 RT.012/05,100 M,0025/PB/VII/  BPPT/2011,30.06.1.46. 01725,,,,,,'07.00,'22.00,Sewa,> 500 M,WFL,,
Jakarta Barat,TAMBORA,Jembatan Lima,Indomaret,PT. Indomarco Prismatama,Jl. Sawah Lio II No. 44 RT.007/01,100 M,00254-02/ PB/P/1.824.271,09.02.5.47. 34251 Tgl. 25/10/2013,212/V/JB/ 2010 Tgl. 7/05/ 2010,44/1.751. 21/X/2014 Tgl. 20/10/ 2014,07988/ IMB/2003 Tgl. 08/09/ 2003,,,'07.00,'22.00,Sewa,> 500 M,WFL,,
Jakarta Barat,TAMBORA,Jembatan Lima,Indomaret,PT. Indomarco Prismatama,Jl. Terate No. 52/54 RT.002/03,100 M,00254-02/PB/P/1.824.271,09.01.1.46. 92196,139/4/JB/ 2014 Tgl. 01/04/ 2014,07/1.824.1/I/2014 Tgl. 23/01/ 2014,21658/ IMB/1994 Tgl. 24/06/ 1994,,,'07.00,'22.00,Sewa,> 500 M,WFL,,
Jakarta Barat,TAMBORA,Jembatan Lima,Indomaret,PT. Indomarco Prismatama,Jl. Sawah Lio No. 12 RT.001/05,100 M,00254-02/PB/P/1.824.271,09.01.1.46. 92196,788/10/JB/ 2013 Tgl. 07/10/ 2013,43/1.751. 21/X/2014 Tgl. 20/10/ 2014,17234/ IMB/1984 Tgl. 09/12/ 1984,,,'07.00,'22.00,Sewa,> 500 M,WFL,,
Jakarta Barat,TAMBORA,Jembatan Besi,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Jembatan Besi No. 9A RT.006/01,120 M,0025/PB/VII/   BPPT/2011,09.02.5.47. 33950,SK.1183/12/ 2004 Tgl. 21/12/ 2004,14/1.824.1/2010 Tgl. 02/02/ 2010,,,3743/-1.824.26 Tgl. 29/06/2012,'07.00,'22.00,Sewa,> 500 M,KKT/ KPD,,
Jakarta Barat,TAMBORA,Jembatan Besi,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Jembatan Besi Raya RT.006/06,120 M,0025/PB/VII/  BPPT/2011,30.06.1.46. 01725,235/5/JB/ 2010,,,,,'07.00,'22.00,Sewa,> 500 M,KKT/ KPD ,,
Jakarta Barat,TAMBORA,Jembatan Besi,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Jembatan Besi RT.015/03,140 M,0025/PB/VII/  BPPT/2011,30.06.1.46. 01725,59/3/JB/2007,,,,,'07.00,'22.00,Sewa,> 500 M,KKT/ KPD,,
Jakarta Barat,TAMBORA,Jembatan Besi,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Kalianyar No. 15 RT.011/05,160 M,0025/PB/VII/  BPPT/2011,30.06.1.46. 01725,,,,,,'07.00,'22.00,Sewa,> 500 M,WFL,,
Jakarta Barat,TAMBORA,Jembatan Besi,Indomaret,PT. Indomarco Prismatama,Jl. Prof. Dr. Latumeten No. 1 RT.002/01,180 M,00254-02/ PB/P/1.824.271,09.02.5.47. 34315 Tgl. 25-10-2013,706/12/JB/ 2014 Tgl. 17-12- 2014,053/1.824. 2/2014 Tgl. 30-4- 2014,00913/ IMB/1985 Tgl. 06-02-1985,,4705/-1.824. 26 tgl. 31 Agustus 2012,'07.00,'22.00,Sewa,> 500 M,KKT/ KPD ,,
Jakarta Barat,TAMBORA,Jembatan Besi,Indomaret,PT. Indomarco Prismatama,Jl. Jembatan Besi Raya No. 30 RT.011/01,180 M,00254-02/PB/P/1.824.271,09.01.1.46. 92196,801/10/JB/ 2014 Tgl. 10-10- 2014,111/1.824. 2/2014 Tgl. 20/10/ 2014,,,,'07.00,'22.00,Sewa,> 500 M,KKT/ KPD,,
Jakarta Barat,TAMBORA,Jembatan Besi,Indomaret,PT. Indomarco Prismatama,Jl. Jembatan Besi No 22 G & F RT.002/06,200 M,00254-02/PB/P/1.824.271,09.01.1.46. 92196,705/12/JB/ 2014 Tgl. 17-12- 2014,066/1.824. 2/2014 Tgl. 10-05- 2014,,,,'07.00,'22.00,Sewa,> 500 M,KKT/ KPD,,
Jakarta Barat,TAMBORA,Jembatan Besi,Indomaret,PT. Indomarco Prismatama,Jl. Jembatan Besi Raya  RT.015/03,200 M,00254-02/PB/P/1.824.271,09.01.1.46. 92196,886/10/JB/ 2013,055/1.824. 2/2013 Tgl. 10-05- 2014,11213/ IMB/2001 Tgl. 14-12-2001,,,'07.00,'22.00,Sewa,> 500 M,KKT/ KPD,,
Jakarta Barat,TAMBORA,Kalianyar,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Kalianyar VI RT.003/03,120 M,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,,,,,,'07.00,'22.00,Sewa,> 500 M,WFL,,
Jakarta Barat,TAMBORA,Kalianyar,PD. Raya,,RT.003/03,140 M,,,,,,,,'07.00,'22.00,Sewa,> 500 M,WFL,,
Jakarta Barat,TAMBORA,Kalianyar,Mels Mart,,RT.007/03,160 M,,,,,,,,'07.00,'22.00,Sewa,> 500 M,WFL,,
Jakarta Barat,TAMBORA,Tanah Sereal,Alfamart,PT. Sumber Alfaria Trijaya,Jl. KHM. Mansyur No. 224 RT.001/02,150 M,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,165/VI/JB/ 2007 Tgl. 27/06/ 2007,018/1.824. 27,,,3743/-1.824.26 Tgl. 29/06/2012,'24 jam,'24 jam,Sewa,> 500 M,KKT/ KPD,,
Jakarta Barat,TAMBORA,Tanah Sereal,Alfamart,PT. Sumber Alfaria Trijaya,Jl. KHM. Mansyur No. 166 RT.001/09,100 M,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,,,,,,'08.00,'22.00,Sewa,> 500 M,KKT/ KPD,,
Jakarta Barat,TAMBORA,Tanah Sereal,Indomaret,PT. Indomarco Prismatama,Jl. Songsi Raya 64 B RT.014/05,100 M,00254-02/PB/P/1.824.271,09.02.5.47. 34253 Tgl. 25/10/2013,140/I/DU/JB/9/2013 Tgl. 20/09/ 2013,41 8/ -1.821.27 Tgl. 30/04/ 2014,2d/I/B/31/69 Tgl. 07/04/ 1969,,,'08.00,'22.00,Sewa,> 500 M,KKT/ KPD,,
Jakarta Barat,TAMBORA,Tanah Sereal,Indomaret,PT. Indomarco Prismatama,Jl. Tanah Sereal Raya No. 16 RT.010/07,90 M,00254-02/PB/P/1.824.271,09.01.1.46. 92196,,,7864/IMB-PG/78 Tgl. 19/04/ 1978,,,'08.00,'22.00,Sewa,> 500 M,WSN,,
Jakarta Barat,TAMBORA,Tanah Sereal,Indomaret,PT. Indomarco Prismatama,Jl. Tanah Sereal Raya No. 22 RT.014/012,90 M,06029-03/ PK/.824.271 Tgl. 24/02/ 2012,09.02.3.46. 11641 Tgl. 03/09/2012,100/3/JB/ 2012 Tgl. 09/03/ 2012,08/1.824.27 Tgl. 27/01/ 2012,,,,'07.00,'22.00,Sewa,> 500 M,WSN,,
Jakarta Barat,TAMBORA,Tanah Sereal,Indomaret,PT. Indomarco Prismatama,Jl. Betet Raya Pekapuran VIII No. 80 RT.001/03,100 M,00254-02/PB/P/1.824.271,09.01.1.46. 92196,1051/12/JB/ 2013 Tgl. 13/12/ 2013,65/1.824.1/14 Tgl. 11/12/ 2014,,,,'07.00,'22.00,Sewa,> 500 M,WSN,,
Jakarta Barat,TAMBORA,Tanah Sereal,Indomaret,PT. Indomarco Prismatama,Jl. KHM. Mansyur No. 2 AB RT.010/05,150 M,00254-02/PB/P/1.824.271,09.02.5.47. 34254 Tgl. 25/10/ 2013,489/9/JB/ 2012 Tgl. 28/09/ 2012,114/1.824. 27 Tgl. 20/10/ 2014,,,,'24 Jam,'24 jam,Sewa,> 500 M,KKT/ KPD,,
Jakarta Barat,TAMBORA,Tanah Sereal,Asia Mart,Cong Ci Kong,Jl. Sosngsi Raya No. 11 RT.013/05,176 M,,,,,,,,'08.00,'22.00,,> 500 M,KKT/ KPD,,
Jakarta Barat,TAMBORA,Tanah Sereal,Panen Market,Tony Harto,Jl. KHM. Mansyur No. 23 RT.001/02,150 M,,,,,,,,'07.30,'22.00,,> 500 M,KKT/ KPD,,
Jakarta Barat,TAMBORA,Krendang,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Krendang Raya No. 50 RT.010/01,120 M,0025/PB/VII/  BPPT/2011,09.02.5.47. 33949,234/I/DU/JB/11/2011 Tgl. 07/11/ 2011,14/1.824.1/2012,,,3743/-1.824.26 Tgl. 29/06/2012,'24 Jam,'24 jam,Sewa,> 500 M,KKT/ KPD,,
Jakarta Barat,TAMBORA,Krendang,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Krendang Utara RT.002/03,120 M,0025/PB/VII/  BPPT/2011,30.06.1.46. 01725,,,,,,'07.00,'22.00,Sewa,> 500 M,WFL,,
Jakarta Barat,TAMBORA,Krendang,Alfamart,PT. Sumber Alfaria Trijaya,Jl. KHM. Mansyur No. 63 RT.001/02,120 M,0025/PB/VII/  BPPT/2011,30.06.1.46. 01725,268/X/JB/ 2009 Tgl. 15/10/ 2009,13/1.824.1/2012 Tgl. 07/06/ 2012,,,3743/-1.824.26 Tgl. 29/06/2012,'07.00,'22.00,Sewa,> 500 M,KKT/ KPD,,
Jakarta Barat,TAMBORA,Krendang,Indomaret,PT. Indomarco Prismatama,Jl. Krendang Utara No.  12 RT.011/03,140 M,00254-02/PB/P/1.824.271,09.01.1.46. 92196,749/9/JB/ 2013 Tgl. 26/09/ 2013,41./1.824. 15 Tgl. 21/08/ 2008,12178/ IMB/2005 Tgl. 17/10/ 2005,,,'07.00,'22.00,Sewa,> 500 M,WFL,,
Jakarta Barat,TAMBORA,Krendang,Indomaret,PT. Indomarco Prismatama,Jl. Krendang Barat No. 19 RT.015/06, 160 M,00254-02/PB/P/1.824.271,09.01.1.46. 92196,802/10/JB/ 2013 Tgl. 10/10/ 2013,60/1.824.2/2014 Tgl. 20/10/ 2014,5427/IMB/2013 Tgl. 04/07/ 2013,,,'07.00,'22.00,Sewa,> 500 M,WFL,,
Jakarta Barat,TAMBORA,Angke,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Angke Jaya XIII No. 19 RT.002/04,180 M,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,,,,,,'07.00,'22.00,Sewa,> 500 M,WFL,,
Jakarta Barat,TAMBORA,Angke,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Angke Jaya 28 RT.015/01,160 M,0025/PB/VII/  BPPT/2011,30.06.1.46. 01725,336/12/JB/ 2006,,,,,'07.00,'22.00,Sewa,> 500 M,WSN,,
Jakarta Barat,TAMBORA,Angke,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Angke Jaya No. 18 RT.005/06,180 M,0025/PB/VII/  BPPT/2011,30.06.1.46. 01725,47/3/JB/2007,,,,,'07.00,'22.00,Sewa,> 500 M,WSN,,
Jakarta Barat,TAMBORA,Angke,Alfamart,PT. Sumber Alfaria Trijaya,RW. 04,180 M,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,,,,,,'07.00,'22.00,Sewa,> 500 M,WSN,,
Jakarta Barat,TAMBORA,Angke,Alfamart,PT. Sumber Alfaria Trijaya,RW.05,160 M,0025/PB/VII/  BPPT/2011,30.06.1.46. 01725,212/3/JB/ 2013,,,,,'07.00,'22.00,Sewa,> 500 M,WSN,,
Jakarta Barat,TAMBORA,Angke,Indomaret,PT. Indomarco Prismatama,Jl. Angke Jaya XIII No. 10 RT.011/05,160 M,00254-02/PB/P/1.824.271,09.01.1.46. 92196,171/1/JB/VI/2009,35/1.824.1/14 Tgl. 07/10/ 2014,02220/ IMB/2004 Tgl. 20/01/ 04,,,'07.00,'22.00,Sewa,> 500 M,WSN,,
Jakarta Barat,TAMBORA,Angke,Indomaret,PT. Indomarco Prismatama,Jl. Angke Jaya VIII No. 10/17 ,160 M,00254-02/PB/P/1.824.271,09.02.5.47. 34249 Tgl. 25/10/2013,482/6/JB/ 2013 Tgl. 14/06/ 2013,77/-1.824. 1/14 Tgl. 30/06/ 2014,1320/IMB/79 Tgl. 04/04/ 1979,,,'07.00,'22.00,Sewa,> 500 M,WSN,,
Jakarta Barat,TAMBORA,Angke,Indomaret,PT. Indomarco Prismatama,Jl. PTB. Angke No. 45 B RT.006/05,120 M,00254-02/PB/P/1.824.271,09.02.5.47. 34250 Tgl. 25/10/2013,232/6/JB/ 2012 Tgl. 05/06/ 2012,103/1.824.1/14 Tgl. 20/10/ 2014,,,,'07.00,'22.00,Sewa,> 500 M,WKT/KPD,,
Jakarta Barat,TAMBORA,Angke,Ceria Mart,,Jl. Samarasa I RT.008/05,120 M,,,,,,,,'07.00,'22.00,,> 500 M,WKC/WSN,,
