tahun,fasilitas,jumlah
2007,Pool Gerobak Sampah,167
2007,Bak Terbuka/LPS Terbuka,43
2007,Bak Kontainer - Kontainer 10 M3,663
2007,Bak Kontainer - Kontainer 6 M3,319
2007,Bak Kontainer - Kontainer 4 M3,329
2007,Transito,15
2007,Depo,197
2008,Pool Gerobak Sampah,169
2008,Bak Terbuka/LPS Terbuka,43
2008,Bak Kontainer - Kontainer 10 M3,274
2008,Bak Kontainer - Kontainer 6 M3,284
2008,Bak Kontainer - Kontainer 4 M3,5
2008,Transito,238
2008,Depo,136
2009,Pool Gerobak Sampah,223
2009,Bak Terbuka/LPS Terbuka,168
2009,Bak Kontainer - Kontainer 10 M3,325
2009,Bak Kontainer - Kontainer 6 M3,310
2009,Bak Kontainer - Kontainer 4 M3,0
2009,Transito,205
2009,Depo,132
2010,Pool Gerobak Sampah,238
2010,Bak Terbuka/LPS Terbuka,280
2010,Bak Kontainer - Kontainer 10 M3,325
2010,Bak Kontainer - Kontainer 6 M3,292
2010,Bak Kontainer - Kontainer 4 M3,0
2010,Transito,186
2010,Depo,206
2011,Pool Gerobak Sampah,268
2011,Bak Terbuka/LPS Terbuka,370
2011,Bak Kontainer - Kontainer 10 M3,314
2011,Bak Kontainer - Kontainer 6 M3,276
2011,Bak Kontainer - Kontainer 4 M3,0
2011,Transito,109
2011,Depo,138
