tahun,nama_sungai,panjang,luas,peruntukan
2012,Ciliwung,46200,1155000,Usaha Perkotaan
2012,Krukut,28750,172500,Air Baku Air Minum
2012,Mookervart,7300,233600,Air Baku Air Minum
2012,Kali Angke,12810,538200,Usaha Perkotaan
2012,Kali Pesanggrahan,27300,354900,Perikanan
2012,Sungai Grogol,23600,165200,Perikanan
2012,Kali Cideng,17800,234810,Usaha Perkotaan
2012,Kalibaru Timur,30200,392600,Usaha Perkotaan
2012,Cipinang,27350,464950,Usaha Perkotaan
2012,Sunter,37250,1080000,Usaha Perkotaan
2012,Cakung,20700,414000,Usaha Perkotaan
2012,Buaran,7900,158000,Usaha Perkotaan
2012,Kalibaru Barat,17700,177000,Air Baku Air Minum
2012,Cengkareng Drain,11200,672000,Usaha Perkotaan
2012,Jati Kramat,3800,19000,Usaha Perkotaan
2012,Cakung Drain,12850,771000,Usaha Perkotaan
2012,Ancol,8300,240700,Usaha Perkotaan
2012,Banjir Kanal Barat,7600,380000,Perikanan
2012,Banjir Kanal Timur,23000,1380000,Perikanan
