tahun,nama_sungai,panjang,luas,peruntukan
2014,Ciliwung,21660,515600,Usaha Perkotaan
2014,Krukut,18370,206340,Air Baku Air Minum
2014,Mookervart,8600,215000,Air Baku Air Minum
2014,Kali Angke,4350,175375,Usaha Perkotaan
2014,Kali Pesanggrahan,11400,142500,Perikanan
2014,Sungai Grogol,21600,367325,Perikanan
2014,Kali Cideng,12700,291000,Usaha Perkotaan
2014,Kalibaru Timur,14250,106875,Usaha Perkotaan
2014,Cipinang,9060,72480,Usaha Perkotaan
2014,Sunter,21290,540900,Usaha Perkotaan
2014,Cakung,18100,181000,Usaha Perkotaan
2014,Buaran,8800,154000,Usaha Perkotaan
2014,Kalibaru Barat,14250,106875,Air Baku Air Minum
2014,Cengkareng Drain,2950,147500,Usaha Perkotaan
2014,Jati Kramat,3270,21255,Usaha Perkotaan
2014,Cakung Drain,8605,301175,Usaha Perkotaan
2014,Ancol,3650,155700,Usaha Perkotaan
2014,Banjir Kanal Barat,14250,855000,Perikanan
2014,Banjir Kanal Timur,23500,2159200,Perikanan
