kota_administrasi,kecamatan,kelurahan,kodifikasi,nama_pemakaman,lokasi_pemakaman,luas_pemakaman,jenis_pemakaman
Jakarta Barat,Cengkareng,Kapuk,87317407021,Kapuk Teko,,13975,RTH Pemakaman
Jakarta Barat,Cengkareng,Kapuk,87317407022,Kebon Jahe,,12000,RTH Pemakaman
Jakarta Barat,Kali Deres,Pegadungan,87317408025,Pegadungan,Jl Pegadungan,659430,RTH Pemakaman
Jakarta Barat,Kali Deres,Pegadungan,87317408023,Utan Jati,Jl Sumur Batu,15860,RTH Pemakaman
Jakarta Barat,Kali Deres,Semanan,87317408026,Semanan,Jl Raya Semanan,8240,RTH Pemakaman
Jakarta Barat,Kali Deres,Tegal Alur,87317408024,Tegal Alur I/II,Jl.Kamal Raya No 1 A,628826,RTH Pemakaman
Jakarta Barat,Kebon Jeruk,,87317402027,Sukabumi Selatan,Jl Raya Joglo,10960,RTH Pemakaman
Jakarta Barat,Kebon Jeruk,Duri Kepa,87317402028,Kepa Duri,Jl. Palem Raya,23140,RTH Pemakaman
Jakarta Barat,Kebon Jeruk,Kedoya Selatan,87317401030,Rawa Kopi,Jl. Al. Kamal Kedoya Selatan,16645,RTH Pemakaman
Jakarta Barat,Kembangan,Joglo,87317401029,Joglo,Jl Raya Joglo,65192,RTH Pemakaman
Jakarta Barat,Kembangan,Kembangan Utara,87317401031,Besmol,Jl Raya Besmol,10335,RTH Pemakaman
Jakarta Barat,Palmerah,Palmerah,87317403032,Grogol Kemanggisan,Jl Kemanggisan III,19138,RTH Pemakaman
Jakarta Pusat,Johar Baru,Johar Baru,87317304017,Kawi-kawi,Jl Kawi-kawi,49699,RTH Pemakaman
Jakarta Pusat,Tanah Abang,Karet Tengsin,87317301020,Karet Pasar Baru Barat,Jl K H Mas Mansyur,68892,RTH Pemakaman
Jakarta Pusat,Tanah Abang,Karet Tengsin,87317301019,Karet Bivak,Jl Penjernihan,161861,RTH Pemakaman
Jakarta Pusat,Tanah Abang,Petamburan,87317301018,Petamburan,Jl Aipda KS Tubun No 1,99025,RTH Pemakaman
Jakarta Selatan,Jagakarsa,Jagakarsa,87317101033,Jagakarsa,Jl Raya Jagakarsa,7131,RTH Pemakaman
Jakarta Selatan,Jagakarsa,Jagakarsa,87317101034,Kampung Kandang,Jl. Raya Ciganjur,229416,RTH Pemakaman
Jakarta Selatan,Jagakarsa,Srengseng Sawah,87317101036,Srengseng Sawah,Jl Kp Kalibata,101360,RTH Pemakaman
Jakarta Selatan,Jagakarsa,Tanjung Barat,87317101035,Kebagusan,Jl. Swadaya,8579,RTH Pemakaman
Jakarta Selatan,Kebayoran Lama,,87317105038,Tanah Kusir I/II,"Jl Bintaro Raya, No 1",519858,RTH Pemakaman
Jakarta Selatan,Kebayoran Lama,,87317105041,Karang Tengah,,21405,RTH Pemakaman
Jakarta Selatan,Kebayoran Lama,,87317105039,Wijaya,Jl Madrasah I,5753,RTH Pemakaman
Jakarta Selatan,Kebayoran Lama,,87317105037,Grogol Selatan,Jl Kubur Islam,7532,RTH Pemakaman
