npsn,nama_sekolah,alamat,jumlah_siswa,jumlah_guru,kepala_sekolah,telepon,kondisi_lingkungan,akreditasi
2.0100216E7,SMA Negeri 1,"Jl. Budi Utomo No. 7, Pasar Baru,Sawah Besar",881.0,47.0,"Ali Mukodas,S.Pd, M.Si",021-3865001,Baik,A
2.0100217E7,SMA Negeri 10,"Jl. Mangga Besar XIII, Mangga Dua Selatan,Sawah Besar",504.0,32.0,"Dra. Hj. Rosmiarti R, M.Pd",021-6590192,Padat/Kumuh,A
2.0103294E7,SMA Negeri 100,"Jl. Persatuan 2, Cipinang Besar Selatan,Jatinegara",656.0,42.0,"Kristian Madiyanto Tambunan, D",8500881.0,Baik,A
2.0101627E7,SMA Negeri 101,"Jl. Kompleks Joglo Baru, Joglo,Kembangan",494.0,52.0,"Mochamad Arif Nooryanto,S.Pd",5847332.0,Baik,A
2.0103293E7,SMA Negeri 102,"Jl. Kayutinggi, Cakung Timur,Cakung",769.0,46.0,"Drs. H. MUKMIN JAUHARI, M.Pd","4604674, 46827360",Baik,A
2.0103292E7,SMA Negeri 103,"Jl. Mawar Merah Perumnas Klender, Duren Sawit,Duren Sawit",774.0,47.0,,8622372.0,Baik,A
2.0103291E7,SMA Negeri 104,"Jl. H. Taiman Barat, Gedong,Pasar Rebo",877.0,52.0,Drs. Gunanto. Msi,8408247.0,Baik,A
2.010329E7,SMA Negeri 105,"Jl. Usman, Kelapa Dua Wetan,Ciracas",792.0,54.0,RITA NURMASTUTI,8719206.0,Baik,A
2.0103289E7,SMA Negeri 106,"Jl. Gandaria I, Pekayon,Pasar Rebo",777.0,50.0,"ELSLEE Y.A. SHEYOPUTRI, M.Hum",021-8701692,Baik,A
2.0103288E7,SMA Negeri 107,"Jl. Kamp. Rawa Badung Timur, Jatinegara,Cakung",721.0,50.0,"NIYATA SIRAT, S.Pd",021 - 4615738,Padat/Kumuh,A
2.010223E7,SMA Negeri 108,"Jl. Kesadaran Ulujami Raya, Pesanggrahan,Pesanggrahan",550.0,37.0,"DRS.DUDUNG ABDUL KODIR,M.Si",7376876.0,Baik,A
2.0102219E7,SMA Negeri 109,"Jl. Gardu No. 31, Srengseng Sawah,Jagakarsa",768.0,48.0,Drs. AGUSMAN ANWAR,2.17271116E8,Baik,A
2.0103287E7,SMA Negeri 11,"Jl. P. Komarudin, Komp. Pendidikan, Pulo Gebang,Cakung",645.0,39.0,Dra. Sofiah Riski,4802080.0,Baik,A
2.0100802E7,SMA Negeri 110,"Jl. Bendungan Melayu, Tugu Selatan,K o j a",831.0,44.0,Dra. IDA HIDAYAH,021-4350059,Baik,A
2.0100803E7,SMA Negeri 111,"Jl. Bandengan Utara No. 80, Penjaringan,Penjaringan",543.0,36.0,"Dra. HJ. Animah, M.Pd",6611703.0,Padat/Kumuh,A
2.0101626E7,SMA Negeri 112,"Jl. Sanggrahan, Meruya Utara,Kembangan",831.0,52.0,Saryono,5850695.0,Baik,A
2.0103286E7,SMA Negeri 113,"Jl. Albaidho I, Monumen Pancasila Sakti, Lubang Buaya,Cipayung",1037.0,62.0,"Horale Tua Simanullang,S.Pd,MM",021-8408034,Banjir,A
2.0100804E7,SMA Negeri 114,"Jl. Pedongkelan No.25 Cilincing, Cilincing,Cilincing",525.0,35.0,"Drs. H. YUMARI, MSi",4404611.0,Padat/Kumuh,A
2.0100805E7,SMA Negeri 115,"Jl. Rorotan X, Rorotan,Cilincing",565.0,37.0,"ZULHAMSHAH,S.Pd,M.Si",4.4850555E7,Baik,A
2.0103285E7,SMA Negeri 12,"Jl. Pertanian, Klender,Duren Sawit",659.0,47.0,"Drs. Nursyamsudin, MM.",021-8615180,Baik,A
2.0100806E7,SMA Negeri 13,"Jl. Seroja No. 1, Rawa Badak Utara,K o j a",887.0,55.0,"Noviolaleni, S.Pd.",021-4303676,Baik,A
2.0103284E7,SMA Negeri 14,"Jl. SMA Barat, Cililitan,Kramat Jati",776.0,51.0,"Kusnyoto, S.Pd",8090296.0,Baik,A
