npsn,nama_sekolah,alamat,jumlah_siswa,jumlah_guru,kepala_sekolah,telepon,kondisi_lingkungan,akreditasi
2.0100228E7,SMP Negeri 1,"Jl. Cikini Raya No. 87, Cikini Menteng",608.0,36.0,Kresno Puji Astuti,3.1922417E7,Baik,A
2.0100252E7,SMP Negeri 10,"Jl. Sumur Batu, Sumur Batu Kemayoran",716.0,37.0,"MOCH. SOLEH, M.M.",2.14241406E8,Banjir,A
2.0101558E7,SMP Negeri 100,"Jl. Obsidian No. 1, Kapuk Cengkareng",504.0,26.0,"Tisno, Drs., MM",021. 6195170,Baik,A
2.0101557E7,SMP Negeri 101,"Jl. Palmerah Utara II/210 C, Palmerah Palmerah",841.0,39.0,Sri Ambar Kosasih S.Pd,021-5481510,Baik,A
2.0103507E7,SMP Negeri 102,"Jl. Sederhana Raya Cijantung II, Gedong Pasar Rebo",556.0,31.0,"Susanto Marto Suwarno,S.Pd",8401794.0,Baik,A
2.0103508E7,SMP Negeri 103,"Jl. RA. Fadilah Cijantung, Cijantung Pasar Rebo",1045.0,57.0,Drs. H. Ismail,8400005.0,Baik,A
2.010242E7,SMP Negeri 104,"Jl. Mampang Prapatan XIII, Tegal Parang Mampang Prapatan",623.0,34.0,"Safarudin Harahap, S.Pd, MM",7990565.0,Padat/Kumuh,A
2.0101556E7,SMP Negeri 105,"Jl. Raya Kembangan Selatan No. 54, Kembangan Selatan Kembangan",854.0,42.0,Drs. Suwondo. M.M,021-58901059,Baik,A
2.0103524E7,SMP Negeri 106,"Jl. H. Baping No. 28, Ciracas Ciracas",885.0,45.0,Hari Mulyadi,8412710.0,Baik,A
2.0102419E7,SMP Negeri 107,"Jl. Raya Pejaten barat, Pejaten Barat Pasar Minggu",679.0,31.0,"H. PONIRAN, S.Pd",7990977.0,Baik,A
2.0101554E7,SMP Negeri 108,"Jl. Flamboyan No. 53, Cengkareng Barat Cengkareng",900.0,41.0,,5550754.0,Banjir,A
2.0103523E7,SMP Negeri 109,"Jl. Kesehatan No.105, Cipinang Melayu Makasar",1017.0,53.0,"BAMBANG SUPRIYADI, S,Pd",8.6601017E7,Baik,A
2.0102402E7,SMP Negeri 11,"Jl. Kerinci VII, Blok E, Gunung Kebayoran Baru",836.0,45.0,Drs. M. ZAMANUDDIN,2.17221665E8,Baik,A
2.0102527E7,SMP Negeri 110,"Jl. Kemajuan, Pesanggrahan Pesanggrahan",642.0,32.0,"Drs. Wahyudin, MM",021-7342288,Baik,A
2.0101553E7,SMP Negeri 111,"Jl. Bhakti VII/2, Kemanggisan Palmerah",840.0,40.0,YURIANTO,021-5482423,Baik,A
2.0100717E7,SMP Negeri 112,"Jl. Al Teluk Gong Pejagalan, Pejagalan Penjaringan",794.0,39.0,Dra. Sri Murtini,6630332.0,Banjir,A
2.0100718E7,SMP Negeri 113,"Jl. Kampung Bandan, Ancol Pademangan",457.0,21.0,Drs.MUHAMAD ASYARI.H.MM,6909030.0,Padat/Kumuh,A
2.0100719E7,SMP Negeri 114,"Jl. H.M. Darpi No. 2 Plumpang Semper, Tugu Utara K o j a",1039.0,46.0,RAMLI,(021) 43936225,Baik,A
2.010251E7,SMP Negeri 115,"Jl. Tebet Utara III/K.H Abdullah Syafe'i, Tebet Timur T e b e t",1004.0,50.0,"H.HAMAMI,MM",2.18297511E8,Baik,A
2.010072E7,SMP Negeri 116,"Jl.Sunter Permai Raya Sunter Agung, Sunter Agung Tanjung Priok",601.0,32.0,Drs Syarief Hidayat,6408125.0,Baik,A
2.0103522E7,SMP Negeri 117,"Jl. Pahlawan Revolusi, Pondok Bambu Duren Sawit",742.0,36.0,"DRS. TUMPAK SINAGA, M.M",8610050.0,Baik,A
2.0100241E7,SMP Negeri 118,"JL. PRAMUKASARI I NO. 19, Rawasari Cempaka Putih",629.0,33.0,"Drs. SURYANA, M.Si.","4245169, 4228154",Baik,A
2.010024E7,SMP Negeri 119,"Jl. Harapan Jaya IX, No. 5, Cempaka Baru Kemayoran",730.0,32.0,"Drs. Hanom Iskandar, MM",4245304.0,Baik,A
