nama,npsn,bentuk_pendidikan,alamat_jalan,desa_kelurahan,kode_wilayah,kode_pos,latitude,longitude,nomor_telepon,nomor_fax,email,website,status_sek
Al Azka,69820810,1,Jl. Dermaga Baru No.10 Rt.002 Rw.017,Klender,16407,,0,0,,,,,2
Al Wathoniyah 2,20110255,1,Jl H Sidin I No.42 Rw Domba Dr Sawit,Duren Sawit,16407,,0,0,,,,,2
Al-Humairah,69785866,1,KP. SETU JL. BENDA NO. 24 RT:03/01,Ciganjur,16301,,0,0,,,,,2
Alifa Islamic Preshool,69785918,1,GUDANG PELURU NO. 4 BLOK. B1,Kebon Baru,16309,,0,0,,,,,2
Anyelir II,69820787,1,Jl. MT. Haryono,Cawang,16405,13630,0,0,0812-12310246,,anyelirdua@gmail.com,,2
Ar Rahmah,20109955,1,JL. RAYA BOGOR KM. 26 RT 02/09 NO.1 KP. ASEM,Cijantung,16401,,0,0,,,,,2
Australian Independent School Indonesia,69889133,1,"Jln. Kemang Timur Raya No. 81, Jakarta Selatan",Kemang Timur,16303,,0,0,,,,,2
Australian Independent School Indonesia,90101162,1,"Jl. Kemang Timur Raya No. 81, Jakarta Selatan, DKI Jakarta",,16307,,0,0,,,,,2
Ayah Bunda,69821033,1,Jl. KP. KRAMAT NO.26 Rt.002/15,Cililitan,16405,,0,0,,,,,2
Balqis As Salam,69820769,1,Jl. Rukun No. 40 RT 05/ RW 01,Setu,16403,,0,0,,,,,2
Bina Bangsa School,90101141,1,"JL. Budi Kav 87, Kemanggisan, Jakarta Barat, DKI Jakarta",,16203,,0,0,,,,,2
Bina Nusantara Simprung,90101098,1,"Jl. Sultan Iskandar Muda Kav. G-8 Kebayoran Lama, Jakarta Selatan",,16305,,0,0,,,,,2
Bintang Kecil,20109972,1,JL. KALISARI RAYA NO. 30 RT 02/11,Kalisari,16401,,0,0,,,,,2
BKB PAUD Dahlia,69821148,1,Jl. Pisangan Lama II Rt.010/03,Pisangan Timur,16409,,0,0,,,,,2
BKB PAUD Nurul Athfaal,69926471,1,Jalan Pendidikan No. 25 RT. 10/06,Bintaro,16304,,0,0,,,,,2
BKB PAUD Pratama,69916669,1,Jl. Kamal Raya Gg.Jaya II No.16 RT.03/14,Cengkareng Barat,16207,11730,0,0,0812-88992206,,MURTAMAHSUWANDI0142@GMAIL.COM,,2
BKB PAUD Pratama,69916646,1,Jl. Kamal Raya Gg.Jaya IINo.16 RT.03/14,Cengkareng Barat,16207,,0,0,,,,,2
BKB PAUD Pratama,69916680,1,Jl. Kamal Raya Gg.Jaya IINo.16 RT.03/14,Cengkareng Barat,16207,,0,0,,,,,2
Bougenville,69820973,1,Jl. Taman Harapan Rt.004/03,Cawang,16405,13630,-6.257512,106.870508,,,,,2
Bunda Mulia School,90101122,1,"JL. Lodan Raya No. 2 Ancol, Jakarta Utara",,16102,14430,0,0,021-6909742,6919405,tk@bundamulia.sch.id,http://bms.sch.id,2
Cengkareng Barat 04 PT,20108932,1,Jl. Utama Raya no. 41,,16207,,0,0,,,,,1
Cengkareng Timur 21 PG,20108933,1,Jl. Outer Ring Road Kayu Besar,,16207,,0,0,,,,,1
D`Royal Maroco IntegratIVe Islamic School,90101076,1,Jl. Haji Agus Salim III no 7 radio dalam raya Kebayoran Baru Jakarta Selatan,,16306,,0,0,,,,,2
