kodifikasi,nama,lokasi,kotamadya,kecamatan,kelurahan,luas,jenis
15010008,Taman Hutan Kota Kampung Sawah, Kampung Sawah (sisi Tol Tomang) , Jakarta Barat , Palmerah , Kemanggisan ,31945, Taman Kota 
15010005,Taman Medan Merdeka (Monas), Jl. Silang Monas , Jakarta Pusat , Gambir , Gambir ,631448, Taman Kota 
15010001,Taman Menteng, Jl. HOS Cokroaminoto , Jakarta Pusat , Menteng , Menteng ,24546, Taman Kota 
15010007,Taman Suropati, Jl. Untung Suropati , Jakarta Pusat , Menteng , Menteng ,16328, Taman Kota 
15010006,Taman Situlembang, Jl. Situlembang , Jakarta Pusat , Menteng , Menteng ,14700, Taman Kota 
15010004,Taman Lapangan Banteng, Jl. Lapangan Banteng , Jakarta Pusat , Sawah Besar , Pasar Baru ,52790, Taman Kota 
15010009,Taman Ayodia, Jl. Barito , Jakarta Selatan , Kebayoran Baru , Kramat Pela ,7497, Taman Kota 
15010003,Taman Hutan Kota Kebon Pisang Penjaringan, Jl.Muara Karang (sisi Pluit Interchange) , Jakarta Utara , Penjaringan , Pejagalan ,53506, Taman Kota 
12010054,Taman interaktif Jl. Lingkungan III RT 010 RW 003,    , Jakarta Barat , Kali Deres , Kamal ,797, Taman Interaktif 
12010084,Taman Interaktif RT 001 RW 006,    , Jakarta Barat , Kali Deres , Kamal ,1300, Taman Interaktif 
12010037,Taman interaktif Jl. Kamp.Belakang RT 001 RW 006,    , Jakarta Barat , Kali Deres , Kamal ,994, Taman Interaktif 
12010038,Taman interaktif Jl. Kampung Rende RT 001 RW 008,    , Jakarta Barat , Kali Deres , Kamal ,800, Taman Interaktif 
12010036,Taman interaktif Jl. Kamal RT 009 RW 003,    , Jakarta Barat , Kali Deres , Kamal ,1126, Taman Interaktif 
12010014,Taman interaktif Jl. Kramat Raya RT 001 RW 009,    , Jakarta Barat , Kali Deres , Semanan ,200, Taman Interaktif 
12010006,Taman interaktif Jl. Bakti Mulya RT 008 RW 002,    , Jakarta Barat , Kali Deres , Tegal Alur ,1200, Taman Interaktif 
12010071,Taman Interaktif Sangkrini, Jl. Sangkrini , Jakarta Barat , Kebon Jeruk , Kebon Jeruk ,858, Taman Interaktif 
12010069,Taman Interaktif,    , Jakarta Barat , Kebon Jeruk , Kebon Jeruk ,858, Taman Interaktif 
