wilayah,jenis_inventarisasi,nama,luas_ha
Jakarta Selatan,Waduk , Waduk Sigura-gura ,10
Jakarta Selatan,Waduk , Waduk Bintaro Kec. Bintaro ,
Jakarta Selatan,Waduk , Waduk Bintaro Kec. Pondok Pinang ,30
Jakarta Selatan,Waduk , Waduk Bonbin Ragunan ,10
Jakarta Selatan,Waduk , Waduk Brigif ,66
Jakarta Selatan,Waduk , Waduk Ragunan 1 ,11
Jakarta Selatan,Waduk , Waduk Ragunan 2 ,45
Jakarta Selatan,Waduk , Waduk Setiabudi ,40
Jakarta Selatan,Situ , Situ TMP Kalibata ,5
Jakarta Selatan,Situ , Lebak Bulus ,13
Jakarta Selatan,Situ , Situ Babakan ,32
Jakarta Selatan,Situ , Situ Mangga Belong ,12
Jakarta Selatan,Situ , Situ Pancoran ,20
Jakarta Selatan,Situ , Situ Ulujami ,7
Jakarta Selatan,Situ , Situ UI ,70
Jakarta Selatan,Situ , Situ Rawa Lindung ,
Jakarta Timur ,Waduk , Waduk Kampung Dukuh ,
Jakarta Timur ,Waduk , Waduk Munjul ,24
Jakarta Timur ,Waduk , Waduk Pacuan Kuda Pulo Mas ,31
Jakarta Timur ,Waduk , Waduk Rio Rio ,90
Jakarta Timur ,Waduk , Waduk Pondok Rangon I ,103
Jakarta Timur ,Waduk , Waduk Pondok Rangon II ,12
Jakarta Timur ,Waduk , Waduk Sunter Hulu ,73
Jakarta Timur ,Waduk , Jambore Cibubur (Baru) ,80
Jakarta Timur ,Waduk , Waduk Aneka Elok ,20
Jakarta Timur ,Waduk , Waduk Cilangkap ,36
Jakarta Timur ,Waduk , Waduk Cimanggis ,37
Jakarta Timur ,Waduk , Waduk Halim I ,70
Jakarta Timur ,Waduk , Waduk Halim II ,12
Jakarta Timur ,Waduk , Waduk Halim III ,
Jakarta Timur ,Waduk , Waduk Halim IV ,
Jakarta Timur ,Waduk , Waduk Halim V ,
Jakarta Timur ,Waduk , Waduk Halim VI ,
Jakarta Timur ,Waduk , Waduk Pondok Rangon III Surilang ,6
Jakarta Timur ,Waduk , Waduk Pondok Rangon III ,
Jakarta Timur ,Waduk , Waduk Taman Modern ,31
Jakarta Timur ,Waduk , Waduk Cipayung ,34
Jakarta Timur ,Situ , Situ Rawa Kelapa Dua Wetan ,45
Jakarta Timur ,Situ , Situ Rawa TMII ,30
Jakarta Timur ,Situ , Situ Rawa Dongkell ,75
Jakarta Timur ,Situ , Situ Rawa Badung ,4
Jakarta Timur ,Situ , Situ Rawa Rorotan ,25
Jakarta Timur ,Situ , Situ Ceger Bambu Apus ,21
Jakarta Timur ,Situ , Situ Rawa Gelam ,30
Jakarta Pusat,Waduk , Waduk Taman Ria Senayan ,50
Jakarta Pusat,Waduk , Waduk Melati ,35
Jakarta Pusat,Situ , Situ Lembang ,10
Jakarta Barat ,Waduk , Waduk Cengkareng ,20
Jakarta Barat ,Waduk , Waduk Grogol ,20
Jakarta Barat ,Waduk , Waduk Hankam ,5
Jakarta Barat ,Waduk , Waduk Jelambar ,15
Jakarta Barat ,Waduk , Waduk Kali Deres ,
Jakarta Barat ,Waduk , Waduk Rawa Kelapa ,5
Jakarta Barat ,Waduk , Waduk Tomang ,60
Jakarta Barat ,Waduk , Waduk Wijaya Kusuma ,15
Jakarta Barat ,Waduk , Waduk Makan Tegal Alur ,
Jakarta Barat ,Waduk , Waduk Meruya ,
Jakarta Barat ,Waduk , Waduk Semanan ,
Jakarta Barat ,Waduk , Waduk Yonhub ,
Jakarta Utara ,Waduk , Waduk Don Bosco ,20
Jakarta Utara ,Waduk , Waduk Marunda ,368
Jakarta Utara ,Waduk , Waduk Muara Angke ,5
Jakarta Utara ,Waduk , Waduk Pegangsaan Dua ,21
Jakarta Utara ,Waduk , Waduk Pluit ,80
Jakarta Utara ,Waduk , Waduk Sunter Selatan ,38
Jakarta Utara ,Waduk , Waduk Sunter Timur 1 A ,70
Jakarta Utara ,Waduk , Waduk Sunter Timur 1 B ,80
Jakarta Utara ,Waduk , Waduk Sunter Timur 3 ,
Jakarta Utara ,Waduk , Waduk Sunter Utara ,32
Jakarta Utara ,Waduk , Waduk Teluk Gong ,2
Jakarta Utara ,Waduk , Waduk Sunter Timur 2 ,
Jakarta Utara ,Waduk , Waduk Tol Soedyatmo ,
Jakarta Utara ,Situ , Situ Rawa Kendal ,10
