nama_sarin,wilayah,latitude,longitude,Column 5,Column 6
kali sentiong,utara,-6.12702202052,106.854744963,,
kali sunter,utara,-6.12664198503,106.894779028,,
kali lagoa tirem,utara,-6.12379800528,106.865035007,,
kali sentiong,utara,-6.12652396783,106.854431983,,
kali sunter kresek,utara,-6.10844302922,106.907038987,,
teluk gong,utara,-6.13755295984,106.785426959,,
waduk - muara baru,utara,-6.1102790013,106.797550963,,
spillway waduk pluit,utara,-6.12490198575,106.802358991,,
waduk sunter selatan,utara,-6.14988600835,106.861000964,,
waduk sunter selatan,utara,-6.14988600835,106.861000964,,
waduk pulo mas,timur,-6.167021,106.881608,,
kali sunter - perintis kemerdekaan,timur,-6.167039,106.881536,,
kali IKIP,timur,-6.16275600158,106.881371001,,
kali baru timur - cawang,timur,-6.245381,106.869062,,
kali baru timur - PGC,timur,-6.263453,106.865112,,
kali cipinang - tol jaograwi,timur,-6.284667,106.875937,,
kalo baru timur - HEK pasar induk,timur,-6.290293,106.871025,,
kali grogol golkar,barat,-6.184569,106.79313,,
kali sekertaris,barat,-6.166658,106.77959,,
cengkareng drain,barat,-6.17101,106.749321,,
kali angke pesing,barat,-6.157361,106.768331,,
rawa teratai,timur,-6.186251,106.922417,,
