kode,kode_wilayah,wilayah,sektor,nama_sektor,kecamatan,kode_lurah,Kelurahan,kode_panggil,nama_bangunan,jumlah,peruntukan,status,alamat_lengkap,telepon,kode_pos,tahun_pembangunan,luas_tanah_m2,luas_bangunan_m2,tahun_rehab_terakhir,nilai_pembaruan_rehab_tahun_2008,rincian_rehab_pembangunan,keterangan,Latitude,Longitude
1.1,1,Sudin DamkarPB Kota Administrasi Jakarta Pusat,1,Sektor Gambir,Gambir,1,Duri Pulo ,1.1,Kantor Sudin Jakarta Pusat,1,Kantor Sudin,Dijaga,Jl. KH. Zainul Arifin No. 71,021 6344215,,,,,,,,,-6.161295,106.809519
1.11.2,1,Sudin DamkarPB Kota Administrasi Jakarta Pusat,1,Sektor Gambir,Gambir,2,Cideng,1.11.2,Pos Jati Baru/ Pos Cideng,1,Pos Pemadam,Dijaga,Jl Taman Jati Baru RT003/RW001,,10150,1976,120,1 lantai 99,2005,13751900,"Torn Air, Pompa Sanyo, Pengecetan, Kusen kusen.",,-6.188489,106.813137
1.11.3,1,Sudin DamkarPB Kota Administrasi Jakarta Pusat,1,Sektor Gambir,Gambir,3,Gambir ,1.11.3,Pos Set Neg,1,Pos Pemadam,Dijaga,Jl. Veteran,,10110,,,,,,,Gedung Set  Neg Milik Balaikota,-6.168452,106.821446
1.11.4,1,Sudin DamkarPB Kota Administrasi Jakarta Pusat,1,Sektor Gambir,Gambir,3,Gambir ,1.11.4,Pos Balaikota,1,Pos Pemadam,Dijaga,Jl. Merdeka Selatan,021 3822884,10110,1985,110,1 lantai 110,2000,,,,-6.180704,106.828174
1.11.5,1,Sudin DamkarPB Kota Administrasi Jakarta Pusat,1,Sektor Gambir,Gambir,4,Kebon Kelapa ,1.11.5,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,10120,,,,,,,,,
1.11.6,1,Sudin DamkarPB Kota Administrasi Jakarta Pusat,1,Sektor Gambir,Gambir,5,Petojo Utara,1.11.6,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,10130,,,,,,,,,
1.11.7,1,Sudin DamkarPB Kota Administrasi Jakarta Pusat,1,Sektor Gambir,Gambir,6,Petojo Selatan ,1.11.7,Pos Walikota,1,Pos Pemadam,Dijaga,Jl. Tanah Abang  I,,10160,1980,110,1 lantai 99,2005,7805638,"Pemasangan Pompa Air, Internit, dan Pengecatan.",,-6.17302,106.819007
1.12.1,1,Sudin DamkarPB Kota Administrasi Jakarta Pusat,2,Sektor Tanah Abang,Tanah Abang,7,Kampung Bali ,1.12.1,Pos Tanah Abang / Pos Kampung Bali,1,Pos Pemadam,Dijaga,Jl. Fachrudin,,10250,2007,140,2 lantai 180,,,,,-6.188499,106.813882
1.12.2,1,Sudin DamkarPB Kota Administrasi Jakarta Pusat,2,Sektor Tanah Abang,Tanah Abang,8,Kebon Melati ,1.12.2,Pos Kebon Melati,1,Pos Pemadam,Dijaga,"Jl. H. Awaludin, RT001/RW017",,10230,1981,210,1 lantai 99,2005,21176900,"Ganti Kusen, Internit, Pengecatan, Pasang Pompa Sanyo, dan pintu.",,-6.200265,106.814586
1.12.3,1,Sudin DamkarPB Kota Administrasi Jakarta Pusat,2,Sektor Tanah Abang,Tanah Abang,9,Kebon Kacang ,1.12.3,Belum Tersedia,0,Belum ada Pos/Sektor,None,,,10240,,,,,,,,,
