jenis_perairan,perairan,wilayah,koordinat_x,koordinat_y,luas_m2,luas_ha
Danau,Waduk Hankam,Jakarta Barat,698288.919018,9314915.57575,842.868632386,0.08428686323859999
Danau,Waduk Tomang,Jakarta Barat,697053.917424,9317867.83206,60763.9866925,6.0763986692500005
Danau,Waduk Rawa Kepa,Jakarta Barat,699454.333661,9317447.38939,4789.0856633,0.47890856633
Danau,Waduk Grogol,Jakarta Barat,698397.921004,9318966.21884,17183.0845268,1.71830845268
Danau,Waduk Wijaya Kusuma,Jakarta Barat,696390.919053,9319992.77946,9115.75385871,0.9115753858710001
Danau,Waduk Tegal Alur,Jakarta Barat,688889.008504,9324277.68488,11885.474247,1.1885474247
Danau,Waduk Kalideres,Jakarta Barat,688233.864183,9320348.25626,6145.84219565,0.614584219565
Danau,Waduk Cengkareng,Jakarta Barat,691472.688226,9320770.98377,8501.19158089,0.850119158089
Waduk,Waduk Semanan,Jakarta Barat,689303.059599,9318576.8876,7041.62474627,0.704162474627
Danau,Waduk Melati,Jakarta Pusat,701160.98121,9314516.88725,32529.7665597,3.25297665597
Danau,Situ Lembang,Jakarta Pusat,703004.955542,9314564.6164,5671.84019278,0.567184019278
Danau,Waduk Taman Ria Senayan,Jakarta Pusat,699582.574575,9313081.15881,43034.1401552,4.3034140155200005
Danau,Waduk Setiabudi,Jakarta Selatan,702189.61529,9313813.48076,38972.8507254,3.89728507254
Danau,Waduk Ragunan 1,Jakarta Selatan,701304.835817,9301488.0071,19106.1704301,1.91061704301
Danau,Waduk Bonbin Ragunan,Jakarta Selatan,701621.404196,9301757.30581,34361.0591957,3.43610591957
Danau,Situ Rawa Lindung,Jakarta Selatan,694125.212061,9309774.62196,293.216591291,0.029321659129099998
Danau,Situ Tmp Kalibata,Jakarta Selatan,704476.015712,9308003.75258,37570.0437647,3.75700437647
Danau,Waduk Ragunan 2,Jakarta Selatan,701474.986689,9301523.04861,3413.35464661,0.341335464661
Danau,Situ Babakan,Jakarta Selatan,701734.42932,9298703.58291,118620.054843,11.862005484300001
Danau,Situ Manggabolong,Jakarta Selatan,701580.707225,9297920.55923,10774.5826595,1.07745826595
Danau,Waduk Ragunan 3,Jakarta Selatan,701551.889981,9301432.87493,8993.5548698,0.89935548698
Situ,Situ Pancoran Mas,Jakarta Selatan,703548.356013,9309301.15777,10823.7695541,1.08237695541
Waduk,Waduk Sigura-Gura,Jakarta Selatan,702733.569346,9307896.12936,2939.97528817,0.29399752881700003
Waduk,Waduk Brigif,Jakarta Selatan,700090.247616,9301789.31754,3150.12915825,0.31501291582499996
Danau,Waduk Pulo Mas/Waduk Rio-Rio,Jakarta Timur,708053.121655,9317621.93457,76108.6920627,7.61086920627
Danau,Situ Rawa Gelam,Jakarta Timur,711625.179891,9313977.32921,21498.2471225,2.14982471225
Danau,Situ Rawa Badung,Jakarta Timur,712704.237196,9313023.10804,20125.4334277,2.0125433427700004
Danau,Waduk Bojana Tirta,Jakarta Timur,707922.829652,9313975.77153,1833.27016426,0.183327016426
Danau,Waduk Munjul,Jakarta Timur,710291.316336,9298285.7722,17079.4194953,1.7079419495300001
Danau,Jambore Cibubur,Jakarta Timur,708824.270493,9296924.75091,67799.6986252,6.779969862520001
Danau,Waduk Kelapa Dua Wetan,Jakarta Timur,708579.005462,9299019.67772,53649.1017448,5.364910174479999
Danau,Situ Rawa Tmii,Jakarta Timur,709595.550998,9302737.94638,25116.7486531,2.51167486531
Danau,Ceger Bambu Apus,Jakarta Timur,709380.947574,9302309.18653,13145.3847863,1.3145384786299998
