nama_hutan_kota,luas,status_hukum,kepemilikan,alamat,kotamadya,kecamatan,kelurahan
Hutan Kota Masjid Istiqlal,1.08,SK Gub No 198/2005,Pengelola Masjid Istiqlal,"Jl. Taman Wijaya Kusumah, ",Jakarta Pusat,Sawah Besar,Pasar Baru
Hutan Kota Waduk/Danau Sunter,8.20,SK Gub No 317/1999 tanggal 18 Feb 1999,Pemda DKI Jakarta,,Jakarta Utara,Tanjung Priok,Papanggo
Hutan Kota Kanal Banjir Barat,2.49,SK Gub No 197/2005,PT. Jakarta Propertindo (BUMD),,,,
Hutan Kota Kawasan Berikat Nusantara Marunda,1.59,SK Gub No 196/2005 serta Surat Direksi PT. KBN No 055/DIRUT/IV/2003 tanggal 11 April ,Kawasan Berikat Nusantara Marunda,,Jakarta Utara,Rorotan,
Hutan Kota Kemayoran,4.60,SK Gub No 339/2002 tanggal 19 Feb 2002,Setneg,,,,
Hutan Kota Srengseng,15.00,SK No Gub No 202/1995 tanggal 24 Feb 1995,Pemda DKI Jakarta,Jln. Haji Kelik,Jakarta Barat,Kembangan,Srengseng
Hutan Kota PT. JIEP Pulogadung,8.90,SK Gub No 870/2004 serta Surat Direksi Teknik PT. JIEP No. 997 tanggal 23 April 2003,PT. JIEP (BUMD),,Jakarta Timur,Cakung,Rawa Terate
Hutan Kota Bumi Perkemahan Cibubur,27.32,SK Gub No 872/2004 serta Surat Kwarnas No 328/00-A tanggal 11 Juni 2003,Kwarnas,,Jakarta Timur,Cipayung,Cibubur
Hutan Kota Situ Rawa Dongkal,3.28,SK Gub No 207/2005,Pemda DKI Jakarta,,Jakarta Timur,Ciracas,
Hutan Kota Komplek Kopassus Cijantung,1.75,SK Gub No 868/2004 serta Surat Danjen Kopassus No B/239/IV/2003,Kopassus,"Kelurahan Cijantung, Kecamatan Pasar Rebo Kota Administrasi Jakarta Timur",Jakarta Timur,Pasar Rebo,Cijantung
Hutan Kota Mabes TNI Cilangkap,14.43,SK Gub No 871/2004 serta Surat Dan Detasemen Markas No B/256/IV/2003 tanggal 3 April 2003,Mabes TNI,"Kelurahan Cilangkap, Kecamatan Pasar Rebo, Kota Administrasi Jakarta Timur ",Jakarta Timur,Pasar Rebo,Cilangkap
Hutan Kota Komplek Lanud Halim Perdana Kusuma,3.50,SK Gub No 338/2002 tanggal 18 Feb 2002,TNI AU,"Kelurahan Halim Perdanan Kusumah, Kecamatan Makssar, Jakarta Timur",Jakarta Timur,Makassar,Halim Perdana Kusumah
Hutan Kota Kampus Universitas Indonesia,55.40,SK Gub No 3487/1999 tanggal 14 Juli 1999,Universitas Indonesia,Kampus UI,Jakarta Selatan,Jagakarsa,Srengseng Sawah
Hutan Kota Blok P Walikota Jakarta Selatan,1.64,SK Gub No 869/2004 serta Instruksi Gub No 233/1999 tanggal 30 Sept 1999,Pemda DKI Jakarta,Jl. Prapanca Blok P,Jakarta Selatan,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
