nama_rptra,kecamatan,kelurahan,alamat,kota,tanggal_peresmian,ketersediaan_ruang _laktasi
RPTRA Sungai Bambu,Tanjung Priok,Sungai Bambu,Jl. Jati Raya Rw 06,Jakarta Utara,13 Mei 2015,Ya
RPTRA Bahari,Cilandak,Gandaria Selatan,Jl. Bahari Raya Rt 009 Rw 07,Jakarta Selatan,21 Mei 2015,Ya
RPTRA Kenanga,Gambir,Cideng,Jl. Makian No. 1 Rt 002/ 005 ,Jakarta Pusat,30 Mei 2015,Ya
RPTRA Kembangan ,Kembangan,Kembangan Utara,Jl. Gang Kompas Rt 007,Jakarta Barat,5 Juni 2015,Ya
RPTRA Amiterdam,Kepulauan Seribu Selatan,Untung Jawa,Pulau Untung Jawa,Kepulauan Seribu,10 Oktober 2015,Tidak
RPTRA Cililitan ,Kramat Jati,Cililitan,Jl. Buluh Rt 10 Rw 16 ,Jakarta Timur,22 Oktober 2015,Ya
RPTRA Sunter Jaya Berseri,Tanjung Priok,Sunter Jaya,"RT 005, 006, 013 RW 05",Jakarta Utara,18 Desember 2015,Ya
RPTRA Pulogebang Indah,Cakung,Pulo Gebang,Rusun Pulo Gebang,Jakarta Timur,23 Desember 2015,Ya
RPTRA Meruya Utara,Kembangan,Meruya Utara,SMPN 215 RT 017/04,Jakarta Barat,29 Desember 2015,Ya
RPTRA Intiland Teduh,Tanah Abang,Karet Tengsin,Jl Karet Pasar Baru Barat I,Jakarta Pusat,30 Desember 2015,Ya
RPTRA Permai ,Pesanggrahan,Bintaro, Jl. Bintaro Permai III RW 09 RT 002 ,Jakarta Selatan,30 Desember 2015,Ya
RPTRA Anggrek Bintaro,Pesanggrahan,Bintaro,Perum Vila Anggrek RW 12 RT 08,Jakarta Selatan,20 Januari 2016,Ya
RPTRA Melati Duri Pulo ,Gambir,Duri Pulo,Taman Duri Pulo Jl Petojo Barat V,Jakarta Pusat,20 Januari 2016,Ya
RPTRA Kebon Pala Berseri,Makasar,Kebon Pala,Jl. Kamboja,Jakarta Timur,28 Januari 2016,Ya
RPTRA Krendang,Tambora,Krendang,Jalan Krendang Selatan No. 21 Rt 05 RW 07,Jakarta Barat,3 Februari 2016,Ya
RPTRA Kedoya Utara,Kebon Jeruk,Kedoya Utara,Jl. Taman Cosmos RT 002 RW 01,Jakarta Barat,3 Februari 2016,Ya
RPTRA Borobudur,Menteng,Pegangsaan,Jalan Borobudur No. 9 Rt 09 Rw 02 (Taman Borobudur),Jakarta Pusat,5 Februari 2016,Ya
RPTRA Puspita,Pesanggrahan,Pesanggrahan,"Jl. H, Gari RT 001 RW 03",Jakarta Selatan,10 Februari 2016,Ya
RPTRA Cengkareng Timur Berseri,Cengkareng,Cengkareng Timur,Jalan Taman Amir Hamzah No. 1 Rt 01 Rw 04 ,Jakarta Barat,18 Februari 2016,Ya
RPTRA Amir Hamzah,Menteng,Pegangsaan,Jalan Taman Amir Hamzah No. 1 Rt 01 Rw 04,Jakarta Pusat,26 Februari 2016,Ya
RPTRA Duri Kosambi,Cengkareng,Duri Kosambi,Rusun Pesakih JL. Daan Mogoot,Jakarta Barat,5 Maret 2016,Ya
RPTRA Saharjo Mentas,Setiabudi,Menteng Atas,Jl. Saharjo Komp AKABRI RT 001/08,Jakarta Selatan,8 Maret 2016,Ya
RPTRA Kembangan Selatan,Kembangan,Kembangan Selatan,RT 001 RW 08,Jakarta Barat,10 Maret 2016,Ya
RPTRA Pulo Gundul,Johar Baru ,Tanah Tinggi,Jl Kramat Pulo Gundul RW 13,Jakarta Pusat,17 Maret 2016,Ya
RPTRA Meruya Selatan,Kembangan,Meruya Selatan,"SDN 04, Jl. H. Saaba RT 007/03",Jakarta Barat,17 Maret 2016,Ya
RPTRA Tanah Abang 3,Gambir,Petojo Selatan,Jl Taman Tanah Abang 3,Jakarta Pusat,24 Maret 2016,Ya
RPTRA Cipinang Besar Utara,Jatinegara ,Cipinang Besar Utara,Jl. Swadaya II RW 06,Jakarta Timur,30 Maret 2016,Ya
RPTRA NKRI,Kelapa Gading,Pegangsaan Dua,Jl. Kelapa Lilin VIII,Jakarta Utara,1 April 2016,Ya
RPTRA DHARMA SUCI,Penjaringan,Pejagalan,Jl. Pluit Mas Utara,Jakarta Utara,6 April 2016,Ya
RPTRA Intiland Teduh @Rawa Buaya,Cengkareng,Rawa Buaya,RT 005 RW 04,Jakarta Barat,19 April 2016,Ya
RPTRA Pademangan Timur,Pademangan ,Pademangan Timur,Bawah Tol Ancol,Jakarta Utara,21 April 2016,Ya
RPTRA Manunggal Juang,Cilincing,Sukapura,Jl. Manunggal Juang Rw 07,Jakarta Utara,21 April 2016,Ya
RPTRA H. Oyar,Kelapa Gading,Pegangsaan Dua,Jl. H Oyar RW 02,Jakarta Utara,21 April 2016,Ya
RPTRA Rustanti,Johar Baru ,Tanah Tinggi,Rusun Kelurahan Tanah Tinggi,Jakarta Pusat,21 April 2016,Ya
RPTRA Griya Tipar,Cakung,Cakung Barat,Rusun Tipar Cakung,Jakarta Timur,21 April 2016,Ya
RPTRA Mawar,Cilandak,Lebak Bulus,Jl. Mawar/Jl. Batan RT 008/02,Jakarta Selatan,26 April 2016,Ya
RPTRA Rasamala,Tebet,Menteng Dalam ,Jl. Rasamala III RT 003/13 (Eks SD Menteng Dalam),Jakarta Selatan,29 April 2016,Ya
RPTRA Manunggal,Pesanggrahan,Petukangan Selatan,Jl. Inpres Manunggal RT 004/02,Jakarta Selatan,29 April 2016,Ya
RPTRA Kalideres,Kalideres,Kalideres,Perumahan Citra Garden 1 Blok C6,Jakarta Barat,03 Mei 2016,Ya
RPTRA Pegadungan,Kalideres,Pegadungan,Perumahan Citra Garden 2 Blok M3,Jakarta Barat,4 Mei 2016,Ya
RPTRA Penggilingan,Cakung,Penggilingan,Jl. Rengas Blok I,Jakarta Timur,12 Mei 2016,Ya
RPTRA Jatinegara,Cakung,Jatinegara,Rusun Pulo Jahe,Jakarta Timur,12 Mei 2016,Ya
RPTRA Ciganjur Berseri,Jagakarsa,Ciganjur,Rumah Dinas Guru Jl. Pasir RT 001/06,Jakarta Selatan,17 Mei 2016,Ya
RPTRA Anggrek,Cilandak,Lebak Bulus,"Rumah Pintar Jl. H, Gandun RT 007/08",Jakarta Selatan,19 Mei 2016,Ya
RPTRA Karang Anyar,Sawah Besar,Karanganyar,"Jl Karang anyar Utara Raya, RW 09 depan kecamatan Sawah Besar",Jakarta Pusat,24 Mei 2016,Ya
RPTRA Pintu Air,Sawah Besar,Pasar Baru ,Jl. Krekot RW 02,Jakarta Pusat,24 Mei 2016,Ya
RPTRA Rawa Badak Utara,Koja,Rawa Badak Utara,"Jl. Inspeksi RW 03,08, 09",Jakarta Utara,26 Mei 2016,Ya
RPTRA Taman Sawo,Kebayoran Baru,Cipete Utara,Jl. Vila Sawo RT 005/02,Jakarta Selatan,31 Mei 2016,Ya
RPTRA Harapan Mulia,Kemayoran,Harapan Mulia,Taman Kebon Bibit Harapan Mulia,Jakarta Pusat,1 Juni 2016,Ya
RPTRA Krida Serdang,Kemayoran,Serdang,Jl Taman Krida RW 1 Kel Serdang ,Jakarta Pusat,1 Juni 2016,Ya
RPTRA Madusela,Sawah Besar,Mangga Dua Selatan,Jl Mangga Besar XIII,Jakarta Pusat,1 Juni 2016,Ya
RPTRA Utakara Beriman,Matraman,Utan Kayu Utara,Jl. Galur Sari belakang SMPN 07,Jakarta Timur,3 Juni 2016,Ya
RPTRA Dahlia,Kramat Jati,Tengah,Jl Giri Kencana RW 03,Jakarta Timur,15 Juni 2016,Ya
RPTRA Penjaringan Indah,Penjaringan,Penjaringan,Jl. Wacung RW 16,Jakarta Utara,23 Juni 2016,Ya
RPTRA Cipinang Besar Selatan,Jatinegara,Cipinang Besar Selatan,Rusun Cipinang Besar Selatan,Jakarta Timur,23 Agustus 2106,Ya
RPTRA Tanjung Elang Berseri,Kepulauan Seribu Utara,Pulau Panggang,Pulau Pramuka,Kepulauan Seribu,20 September 2106,Ya
