Column Name (CSV),Wikidata Property (id),Wikidata Property (label),Data Type,Table Name,url
lokasi halte,P6375,alamat,String,DAFTAR-HALTE-BUS-SEKOLAH-edited.csv,http://data.jakarta.go.id/dataset/906ffdfb-ec09-4afb-88cb-88c530fc2b3d/resource/301f3967-ae1c-417d-988d-2af9a294fcc3/download/DAFTAR-HALTE-BUS-SEKOLAH-edited.csv
tahun pembuatan, P571,sejak,Time,DAFTAR-HALTE-BUS-SEKOLAH-edited.csv,http://data.jakarta.go.id/dataset/906ffdfb-ec09-4afb-88cb-88c530fc2b3d/resource/301f3967-ae1c-417d-988d-2af9a294fcc3/download/DAFTAR-HALTE-BUS-SEKOLAH-edited.csv
alamat, P6375,alamat,String,Daftar-Kantor-Pelayanan-Pajak-Di-DKI-Jakarta-edited.csv,http://data.jakarta.go.id/dataset/cf99eb0b-1818-4beb-bb26-3c185cac2620/resource/09de786f-ed0f-40b2-a7fc-7d97452766ca/download/Daftar-Kantor-Pelayanan-Pajak-Di-DKI-Jakarta-edited.csv
jenis, ,,String,Daftar-Kantor-Pelayanan-Pajak-Di-DKI-Jakarta-edited.csv,http://data.jakarta.go.id/dataset/cf99eb0b-1818-4beb-bb26-3c185cac2620/resource/09de786f-ed0f-40b2-a7fc-7d97452766ca/download/Daftar-Kantor-Pelayanan-Pajak-Di-DKI-Jakarta-edited.csv
kecamatan, P131,terletak di wilayah administrasi,WikibaseItem,Daftar-Kantor-Pelayanan-Pajak-Di-DKI-Jakarta-edited.csv,http://data.jakarta.go.id/dataset/cf99eb0b-1818-4beb-bb26-3c185cac2620/resource/09de786f-ed0f-40b2-a7fc-7d97452766ca/download/Daftar-Kantor-Pelayanan-Pajak-Di-DKI-Jakarta-edited.csv
kelurahan, P131,terletak di wilayah administrasi,WikibaseItem,Daftar-Kantor-Pelayanan-Pajak-Di-DKI-Jakarta-edited.csv,http://data.jakarta.go.id/dataset/cf99eb0b-1818-4beb-bb26-3c185cac2620/resource/09de786f-ed0f-40b2-a7fc-7d97452766ca/download/Daftar-Kantor-Pelayanan-Pajak-Di-DKI-Jakarta-edited.csv
kode kantor, ,,String,Daftar-Kantor-Pelayanan-Pajak-Di-DKI-Jakarta-edited.csv,http://data.jakarta.go.id/dataset/cf99eb0b-1818-4beb-bb26-3c185cac2620/resource/09de786f-ed0f-40b2-a7fc-7d97452766ca/download/Daftar-Kantor-Pelayanan-Pajak-Di-DKI-Jakarta-edited.csv
provinsi, P131,terletak di wilayah administrasi,WikibaseItem,Daftar-Kantor-Pelayanan-Pajak-Di-DKI-Jakarta-edited.csv,http://data.jakarta.go.id/dataset/cf99eb0b-1818-4beb-bb26-3c185cac2620/resource/09de786f-ed0f-40b2-a7fc-7d97452766ca/download/Daftar-Kantor-Pelayanan-Pajak-Di-DKI-Jakarta-edited.csv
wilayah, P131,terletak di wilayah administrasi,WikibaseItem,Daftar-Kantor-Pelayanan-Pajak-Di-DKI-Jakarta-edited.csv,http://data.jakarta.go.id/dataset/cf99eb0b-1818-4beb-bb26-3c185cac2620/resource/09de786f-ed0f-40b2-a7fc-7d97452766ca/download/Daftar-Kantor-Pelayanan-Pajak-Di-DKI-Jakarta-edited.csv
kategori, P910, kategori utama topik,WikibaseItem,daftar-taman-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/3bc/bfa/daftar-taman-kota-bandung.csv
kecamatan, P131,terletak di wilayah administrasi,WikibaseItem,daftar-taman-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/3bc/bfa/daftar-taman-kota-bandung.csv
kelurahan, P131,terletak di wilayah administrasi,WikibaseItem,daftar-taman-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/3bc/bfa/daftar-taman-kota-bandung.csv
latitude, P625,koordinat tempat,GlobeCoordinate,daftar-taman-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/3bc/bfa/daftar-taman-kota-bandung.csv
lokasi, P6375,alamat,String,daftar-taman-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/3bc/bfa/daftar-taman-kota-bandung.csv
longitude, P625,koordinat tempat,GlobeCoordinate,daftar-taman-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/3bc/bfa/daftar-taman-kota-bandung.csv
sub wilayah kota, P131,terletak di wilayah administrasi,WikibaseItem,daftar-taman-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/3bc/bfa/daftar-taman-kota-bandung.csv
tipe,P31,adalah,WikibaseItem,daftar-taman-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/3bc/bfa/daftar-taman-kota-bandung.csv
alamat, P6375,alamat,String,daftar-tk-di-kecamatan-buah-batu.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/c4d/db0/daftar-tk-di-kecamatan-buah-batu.csv
kelurahan, P131,terletak di wilayah administrasi,WikibaseItem,daftar-tk-di-kecamatan-buah-batu.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/c4d/db0/daftar-tk-di-kecamatan-buah-batu.csv
no telp/hp, P1329,nomor telepon,String,daftar-tk-di-kecamatan-buah-batu.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/c4d/db0/daftar-tk-di-kecamatan-buah-batu.csv
alamat, P6375,alamat,String,Data-Fasilitas-Dinas-Pemuda-dan-Olahraga.csv,http://data.jakarta.go.id/dataset/66de37c9-5be2-46f8-8bda-53b99039c6d7/resource/c78ad873-ffc9-4918-b941-60cccfc979f9/download/Fasilitas-Dinas-Olahraga-dan-Pemuda.csv
jenis lapangan,P31,adalah,WikibaseItem,Data-Fasilitas-Dinas-Pemuda-dan-Olahraga.csv,http://data.jakarta.go.id/dataset/66de37c9-5be2-46f8-8bda-53b99039c6d7/resource/c78ad873-ffc9-4918-b941-60cccfc979f9/download/Fasilitas-Dinas-Olahraga-dan-Pemuda.csv
kecamatan, P131,terletak di wilayah administrasi,WikibaseItem,Data-Fasilitas-Dinas-Pemuda-dan-Olahraga.csv,http://data.jakarta.go.id/dataset/66de37c9-5be2-46f8-8bda-53b99039c6d7/resource/c78ad873-ffc9-4918-b941-60cccfc979f9/download/Fasilitas-Dinas-Olahraga-dan-Pemuda.csv
kelurahan, P131,terletak di wilayah administrasi,WikibaseItem,Data-Fasilitas-Dinas-Pemuda-dan-Olahraga.csv,http://data.jakarta.go.id/dataset/66de37c9-5be2-46f8-8bda-53b99039c6d7/resource/c78ad873-ffc9-4918-b941-60cccfc979f9/download/Fasilitas-Dinas-Olahraga-dan-Pemuda.csv
wilayah, P131,terletak di wilayah administrasi,WikibaseItem,Data-Fasilitas-Dinas-Pemuda-dan-Olahraga.csv,http://data.jakarta.go.id/dataset/66de37c9-5be2-46f8-8bda-53b99039c6d7/resource/c78ad873-ffc9-4918-b941-60cccfc979f9/download/Fasilitas-Dinas-Olahraga-dan-Pemuda.csv
jenjang, ,,WikibaseItem,Data-Guru-Kontrak-Kerja-Individu-KKI-Sekolah-Negeri-full-sudin-2018-edited.csv,http://data.jakarta.go.id/dataset/7a62d7e0-05ff-405d-8eda-21d3de08fc39/resource/aafecd61-3ae0-4fe6-b50e-8921cc9db21c/download/Data-Guru-Kontrak-Kerja-Individu-KKI-Sekolah-Negeri-full-sudin-2018-edited.csv
kecamatan, P131,terletak di wilayah administrasi,WikibaseItem,Data-Guru-Kontrak-Kerja-Individu-KKI-Sekolah-Negeri-full-sudin-2018-edited.csv,http://data.jakarta.go.id/dataset/7a62d7e0-05ff-405d-8eda-21d3de08fc39/resource/aafecd61-3ae0-4fe6-b50e-8921cc9db21c/download/Data-Guru-Kontrak-Kerja-Individu-KKI-Sekolah-Negeri-full-sudin-2018-edited.csv
mata pelajaran, ,,WikibaseItem,Data-Guru-Kontrak-Kerja-Individu-KKI-Sekolah-Negeri-full-sudin-2018-edited.csv,http://data.jakarta.go.id/dataset/7a62d7e0-05ff-405d-8eda-21d3de08fc39/resource/aafecd61-3ae0-4fe6-b50e-8921cc9db21c/download/Data-Guru-Kontrak-Kerja-Individu-KKI-Sekolah-Negeri-full-sudin-2018-edited.csv
npsn tempat tugas, P4128,NPSN,String,Data-Guru-Kontrak-Kerja-Individu-KKI-Sekolah-Negeri-full-sudin-2018-edited.csv,http://data.jakarta.go.id/dataset/7a62d7e0-05ff-405d-8eda-21d3de08fc39/resource/aafecd61-3ae0-4fe6-b50e-8921cc9db21c/download/Data-Guru-Kontrak-Kerja-Individu-KKI-Sekolah-Negeri-full-sudin-2018-edited.csv
sekolah tempat tugas, P108,karyawan/pegawai,WikibaseItem,Data-Guru-Kontrak-Kerja-Individu-KKI-Sekolah-Negeri-full-sudin-2018-edited.csv,http://data.jakarta.go.id/dataset/7a62d7e0-05ff-405d-8eda-21d3de08fc39/resource/aafecd61-3ae0-4fe6-b50e-8921cc9db21c/download/Data-Guru-Kontrak-Kerja-Individu-KKI-Sekolah-Negeri-full-sudin-2018-edited.csv
wilayah sudin, ,,WikibaseItem,Data-Guru-Kontrak-Kerja-Individu-KKI-Sekolah-Negeri-full-sudin-2018-edited.csv,http://data.jakarta.go.id/dataset/7a62d7e0-05ff-405d-8eda-21d3de08fc39/resource/aafecd61-3ae0-4fe6-b50e-8921cc9db21c/download/Data-Guru-Kontrak-Kerja-Individu-KKI-Sekolah-Negeri-full-sudin-2018-edited.csv
fungsi, ,,String,Data-Jaringan-Jalan-Toll-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/cs_CZ/dataset/7cb53b7f-29cc-4fc5-b869-260ab071c22b/resource/c6784361-9396-4650-af9e-6c4512fbc022/download/Data-Jaringan-Jalan-Toll-Provinsi-DKI-Jakarta.csv
kota administrasi, P131,terletak di wilayah administrasi,WikibaseItem,Data-Jaringan-Jalan-Toll-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/cs_CZ/dataset/7cb53b7f-29cc-4fc5-b869-260ab071c22b/resource/c6784361-9396-4650-af9e-6c4512fbc022/download/Data-Jaringan-Jalan-Toll-Provinsi-DKI-Jakarta.csv
lebar jalan, P2049,lebar,Quantity,Data-Jaringan-Jalan-Toll-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/cs_CZ/dataset/7cb53b7f-29cc-4fc5-b869-260ab071c22b/resource/c6784361-9396-4650-af9e-6c4512fbc022/download/Data-Jaringan-Jalan-Toll-Provinsi-DKI-Jakarta.csv
nomor, P1824,nomor jalan,String,Data-Jaringan-Jalan-Toll-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/cs_CZ/dataset/7cb53b7f-29cc-4fc5-b869-260ab071c22b/resource/c6784361-9396-4650-af9e-6c4512fbc022/download/Data-Jaringan-Jalan-Toll-Provinsi-DKI-Jakarta.csv
